"","YEARMODA","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source"
"53",19900222,1990-02-22 12:00:00,"1990-02-22 12:00:00",1990,2,22,3.611,16,9.667,0,NA,NA
"54",19900223,1990-02-23 12:00:00,"1990-02-23 12:00:00",1990,2,23,2,17,7.944,0,NA,NA
"55",19900224,1990-02-24 12:00:00,"1990-02-24 12:00:00",1990,2,24,0.611,21,9.556,0,NA,NA
"56",19900225,1990-02-25 12:00:00,"1990-02-25 12:00:00",1990,2,25,2,19.889,11.778,0,NA,NA
"57",19900226,1990-02-26 12:00:00,"1990-02-26 12:00:00",1990,2,26,4,13,9.611,0,NA,NA
"58",19900227,1990-02-27 12:00:00,"1990-02-27 12:00:00",1990,2,27,1.889,8.278,5.056,9.652,NA,NA
"59",19900228,1990-02-28 12:00:00,"1990-02-28 12:00:00",1990,2,28,2,9,5.389,14.478,NA,NA
"60",19900301,1990-03-01 12:00:00,"1990-03-01 12:00:00",1990,3,1,-0.222,9,3.778,10.16,NA,NA
"61",19900302,1990-03-02 12:00:00,"1990-03-02 12:00:00",1990,3,2,-1.278,3.389,0.5,0,NA,NA
"62",19900303,1990-03-03 12:00:00,"1990-03-03 12:00:00",1990,3,3,-3,4,0.444,0.254,NA,NA
"63",19900304,1990-03-04 12:00:00,"1990-03-04 12:00:00",1990,3,4,-3,7,2.944,0,NA,NA
"64",19900305,1990-03-05 12:00:00,"1990-03-05 12:00:00",1990,3,5,-1.111,10,4.111,0,NA,NA
"65",19900306,1990-03-06 12:00:00,"1990-03-06 12:00:00",1990,3,6,-0.278,12.111,6.778,0,NA,NA
"66",19900307,1990-03-07 12:00:00,"1990-03-07 12:00:00",1990,3,7,0.889,13,6.389,0,NA,NA
"67",19900308,1990-03-08 12:00:00,"1990-03-08 12:00:00",1990,3,8,-2,18,6.556,0,NA,NA
"68",19900309,1990-03-09 12:00:00,"1990-03-09 12:00:00",1990,3,9,3.111,13.278,10.444,0,NA,NA
"69",19900310,1990-03-10 12:00:00,"1990-03-10 12:00:00",1990,3,10,7,11.222,9.222,0,NA,NA
"70",19900311,1990-03-11 12:00:00,"1990-03-11 12:00:00",1990,3,11,6,20,12.5,0,NA,NA
"71",19900312,1990-03-12 12:00:00,"1990-03-12 12:00:00",1990,3,12,4.778,16,9.833,0,NA,NA
"72",19900313,1990-03-13 12:00:00,"1990-03-13 12:00:00",1990,3,13,-0.111,16.222,8.056,0,NA,NA
"73",19900314,1990-03-14 12:00:00,"1990-03-14 12:00:00",1990,3,14,3.722,11,7.5,1.016,NA,NA
"74",19900315,1990-03-15 12:00:00,"1990-03-15 12:00:00",1990,3,15,3,15,7.944,0,NA,NA
"75",19900316,1990-03-16 12:00:00,"1990-03-16 12:00:00",1990,3,16,-0.111,16.611,6.5,0,NA,NA
"76",19900317,1990-03-17 12:00:00,"1990-03-17 12:00:00",1990,3,17,-1.222,18,7.667,0,NA,NA
"77",19900318,1990-03-18 12:00:00,"1990-03-18 12:00:00",1990,3,18,0,18,8.889,0,NA,NA
"78",19900319,1990-03-19 12:00:00,"1990-03-19 12:00:00",1990,3,19,1.722,18,9.611,0,NA,NA
"79",19900320,1990-03-20 12:00:00,"1990-03-20 12:00:00",1990,3,20,4.611,14.222,10.333,0,NA,NA
"80",19900321,1990-03-21 12:00:00,"1990-03-21 12:00:00",1990,3,21,7,21,14.111,0,NA,NA
"81",19900322,1990-03-22 12:00:00,"1990-03-22 12:00:00",1990,3,22,7,23,14.611,0,NA,NA
"82",19900323,1990-03-23 12:00:00,"1990-03-23 12:00:00",1990,3,23,3,13,8.167,1.524,NA,NA
"83",19900324,1990-03-24 12:00:00,"1990-03-24 12:00:00",1990,3,24,-1,15.111,7.5,0,NA,NA
"84",19900325,1990-03-25 12:00:00,"1990-03-25 12:00:00",1990,3,25,0.889,8,5.611,1.016,NA,NA
"85",19900326,1990-03-26 12:00:00,"1990-03-26 12:00:00",1990,3,26,2,7,3.667,0,NA,NA
"86",19900327,1990-03-27 12:00:00,"1990-03-27 12:00:00",1990,3,27,-1.222,8,4.333,0,NA,NA
"87",19900328,1990-03-28 12:00:00,"1990-03-28 12:00:00",1990,3,28,1,5,2.556,3.048,NA,NA
"88",19900329,1990-03-29 12:00:00,"1990-03-29 12:00:00",1990,3,29,2,6.278,4.667,3.556,NA,NA
"89",19900330,1990-03-30 12:00:00,"1990-03-30 12:00:00",1990,3,30,4,12,8,0,NA,NA
"90",19900331,1990-03-31 12:00:00,"1990-03-31 12:00:00",1990,3,31,0.611,17,8.611,0,NA,NA
"91",19900401,1990-04-01 12:00:00,"1990-04-01 12:00:00",1990,4,1,2.722,19,10.722,0,NA,NA
"92",19900402,1990-04-02 12:00:00,"1990-04-02 12:00:00",1990,4,2,1.5,18,10.222,0,NA,NA
"93",19900403,1990-04-03 12:00:00,"1990-04-03 12:00:00",1990,4,3,3.889,15,9.944,0,NA,NA
"94",19900404,1990-04-04 12:00:00,"1990-04-04 12:00:00",1990,4,4,1.722,10.111,5.5,1.27,NA,NA
"95",19900405,1990-04-05 12:00:00,"1990-04-05 12:00:00",1990,4,5,3,8.278,5.222,0,NA,NA
"96",19900406,1990-04-06 12:00:00,"1990-04-06 12:00:00",1990,4,6,2.889,6.111,4.722,1.27,NA,NA
"97",19900407,1990-04-07 12:00:00,"1990-04-07 12:00:00",1990,4,7,3,6.389,4.944,0.254,NA,NA
"98",19900408,1990-04-08 12:00:00,"1990-04-08 12:00:00",1990,4,8,2.5,5,3.556,0.508,NA,NA
"99",19900409,1990-04-09 12:00:00,"1990-04-09 12:00:00",1990,4,9,1,7,4.167,0.508,NA,NA
"100",19900410,1990-04-10 12:00:00,"1990-04-10 12:00:00",1990,4,10,1.889,11.389,6,0,NA,NA
"101",19900411,1990-04-11 12:00:00,"1990-04-11 12:00:00",1990,4,11,3,9.389,6.222,2.286,NA,NA
"102",19900412,1990-04-12 12:00:00,"1990-04-12 12:00:00",1990,4,12,2,10.278,6.389,1.524,NA,NA
"103",19900413,1990-04-13 12:00:00,"1990-04-13 12:00:00",1990,4,13,0.611,14,7.778,0,NA,NA
"104",19900414,1990-04-14 12:00:00,"1990-04-14 12:00:00",1990,4,14,3,11,7.333,0.762,NA,NA
"105",19900415,1990-04-15 12:00:00,"1990-04-15 12:00:00",1990,4,15,0,10,5.556,0,NA,NA
"106",19900416,1990-04-16 12:00:00,"1990-04-16 12:00:00",1990,4,16,1.778,10,5.667,1.016,NA,NA
"107",19900417,1990-04-17 12:00:00,"1990-04-17 12:00:00",1990,4,17,2,10.111,6.111,0.508,NA,NA
"108",19900418,1990-04-18 12:00:00,"1990-04-18 12:00:00",1990,4,18,1.778,9.111,4.778,8.128,NA,NA
"109",19900419,1990-04-19 12:00:00,"1990-04-19 12:00:00",1990,4,19,0.889,11.222,5.833,0,NA,NA
"110",19900420,1990-04-20 12:00:00,"1990-04-20 12:00:00",1990,4,20,2.778,13.389,7.944,0.508,NA,NA
"111",19900421,1990-04-21 12:00:00,"1990-04-21 12:00:00",1990,4,21,6,16,10.556,0,NA,NA
"112",19900422,1990-04-22 12:00:00,"1990-04-22 12:00:00",1990,4,22,5,13,8.722,0.762,NA,NA
"113",19900423,1990-04-23 12:00:00,"1990-04-23 12:00:00",1990,4,23,7,12,8.222,2.54,NA,NA
"114",19900424,1990-04-24 12:00:00,"1990-04-24 12:00:00",1990,4,24,6.778,13,9.111,33.782,NA,NA
"115",19900425,1990-04-25 12:00:00,"1990-04-25 12:00:00",1990,4,25,5.611,13.5,9.278,0,NA,NA
"116",19900426,1990-04-26 12:00:00,"1990-04-26 12:00:00",1990,4,26,6,15,10,0,NA,NA
"117",19900427,1990-04-27 12:00:00,"1990-04-27 12:00:00",1990,4,27,6.611,13,9.333,3.302,NA,NA
"118",19900428,1990-04-28 12:00:00,"1990-04-28 12:00:00",1990,4,28,4.889,11.111,7.722,0.254,NA,NA
"119",19900429,1990-04-29 12:00:00,"1990-04-29 12:00:00",1990,4,29,2,16.389,9.667,0,NA,NA
"120",19900430,1990-04-30 12:00:00,"1990-04-30 12:00:00",1990,4,30,3.611,20,12.444,0,NA,NA
"121",19900501,1990-05-01 12:00:00,"1990-05-01 12:00:00",1990,5,1,6,23,15,0,NA,NA
"122",19900502,1990-05-02 12:00:00,"1990-05-02 12:00:00",1990,5,2,10,23.389,17.056,0,NA,NA
"123",19900503,1990-05-03 12:00:00,"1990-05-03 12:00:00",1990,5,3,9.611,22,15.611,0,NA,NA
"124",19900504,1990-05-04 12:00:00,"1990-05-04 12:00:00",1990,5,4,8,23,16.111,0,NA,NA
"125",19900505,1990-05-05 12:00:00,"1990-05-05 12:00:00",1990,5,5,9,25,17.167,0,NA,NA
"126",19900506,1990-05-06 12:00:00,"1990-05-06 12:00:00",1990,5,6,6.778,23.389,14.667,0,NA,NA
"127",19900507,1990-05-07 12:00:00,"1990-05-07 12:00:00",1990,5,7,7,21.389,13.444,0,NA,NA
"128",19900508,1990-05-08 12:00:00,"1990-05-08 12:00:00",1990,5,8,10,19.111,13.833,3.81,NA,NA
"129",19900509,1990-05-09 12:00:00,"1990-05-09 12:00:00",1990,5,9,7,21.278,14.667,0,NA,NA
"130",19900510,1990-05-10 12:00:00,"1990-05-10 12:00:00",1990,5,10,8,22.278,14.833,0.508,NA,NA
"131",19900511,1990-05-11 12:00:00,"1990-05-11 12:00:00",1990,5,11,9,16,12.222,2.794,NA,NA
"132",19900512,1990-05-12 12:00:00,"1990-05-12 12:00:00",1990,5,12,7,19,12.333,13.716,NA,NA
"133",19900513,1990-05-13 12:00:00,"1990-05-13 12:00:00",1990,5,13,5,19.222,13.278,0,NA,NA
"134",19900514,1990-05-14 12:00:00,"1990-05-14 12:00:00",1990,5,14,8,20,14.222,0,NA,NA
"135",19900515,1990-05-15 12:00:00,"1990-05-15 12:00:00",1990,5,15,7.722,22,16.167,0,NA,NA
"136",19900516,1990-05-16 12:00:00,"1990-05-16 12:00:00",1990,5,16,11.722,23.278,17.722,0,NA,NA
"137",19900517,1990-05-17 12:00:00,"1990-05-17 12:00:00",1990,5,17,12,23.389,17.278,0.254,NA,NA
"138",19900518,1990-05-18 12:00:00,"1990-05-18 12:00:00",1990,5,18,9,20,15.278,0,NA,NA
"139",19900519,1990-05-19 12:00:00,"1990-05-19 12:00:00",1990,5,19,9,21.111,15.5,0,NA,NA
"140",19900520,1990-05-20 12:00:00,"1990-05-20 12:00:00",1990,5,20,8.722,22,15.889,0,NA,NA
"141",19900521,1990-05-21 12:00:00,"1990-05-21 12:00:00",1990,5,21,8.778,19.278,13.778,2.032,NA,NA
"142",19900522,1990-05-22 12:00:00,"1990-05-22 12:00:00",1990,5,22,9,22,15.833,0,NA,NA
"143",19900523,1990-05-23 12:00:00,"1990-05-23 12:00:00",1990,5,23,10,22.222,15.778,99.06,NA,NA
"144",19900524,1990-05-24 12:00:00,"1990-05-24 12:00:00",1990,5,24,10,20,14.333,1.27,NA,NA
"145",19900525,1990-05-25 12:00:00,"1990-05-25 12:00:00",1990,5,25,8,15.111,11.833,28.194,NA,NA
"146",19900526,1990-05-26 12:00:00,"1990-05-26 12:00:00",1990,5,26,5,16,11.167,0,NA,NA
"147",19900527,1990-05-27 12:00:00,"1990-05-27 12:00:00",1990,5,27,4.5,18,12,0,NA,NA
"148",19900528,1990-05-28 12:00:00,"1990-05-28 12:00:00",1990,5,28,5,16,11.111,0,NA,NA
"149",19900529,1990-05-29 12:00:00,"1990-05-29 12:00:00",1990,5,29,2,16,10.111,0,NA,NA
"150",19900530,1990-05-30 12:00:00,"1990-05-30 12:00:00",1990,5,30,2,19,12.278,0,NA,NA
"151",19900531,1990-05-31 12:00:00,"1990-05-31 12:00:00",1990,5,31,4,21.611,14.278,0,NA,NA
"152",19900601,1990-06-01 12:00:00,"1990-06-01 12:00:00",1990,6,1,6.611,25.111,17.111,0,NA,NA
"153",19900602,1990-06-02 12:00:00,"1990-06-02 12:00:00",1990,6,2,9,17,13.556,19.05,NA,NA
"154",19900603,1990-06-03 12:00:00,"1990-06-03 12:00:00",1990,6,3,9,16.222,12.278,3.048,NA,NA
"155",19900604,1990-06-04 12:00:00,"1990-06-04 12:00:00",1990,6,4,9,17,13.278,3.048,NA,NA
"156",19900605,1990-06-05 12:00:00,"1990-06-05 12:00:00",1990,6,5,7.611,19,13.833,0,NA,NA
"157",19900606,1990-06-06 12:00:00,"1990-06-06 12:00:00",1990,6,6,10,15,13,0.762,NA,NA
"158",19900607,1990-06-07 12:00:00,"1990-06-07 12:00:00",1990,6,7,12,17.611,14.667,0,NA,NA
"159",19900608,1990-06-08 12:00:00,"1990-06-08 12:00:00",1990,6,8,8.5,15.222,12.444,4.572,NA,NA
"160",19900609,1990-06-09 12:00:00,"1990-06-09 12:00:00",1990,6,9,8,15,10.889,8.382,NA,NA
"161",19900610,1990-06-10 12:00:00,"1990-06-10 12:00:00",1990,6,10,7.5,14,10.333,4.064,NA,NA
"162",19900611,1990-06-11 12:00:00,"1990-06-11 12:00:00",1990,6,11,10.389,18,13.444,3.302,NA,NA
"163",19900612,1990-06-12 12:00:00,"1990-06-12 12:00:00",1990,6,12,10,16.222,13.222,0,NA,NA
"164",19900613,1990-06-13 12:00:00,"1990-06-13 12:00:00",1990,6,13,10,13,11.722,1.27,NA,NA
"165",19900614,1990-06-14 12:00:00,"1990-06-14 12:00:00",1990,6,14,10,15,11.944,0,NA,NA
"166",19900615,1990-06-15 12:00:00,"1990-06-15 12:00:00",1990,6,15,10,16.111,13.389,0,NA,NA
"167",19900616,1990-06-16 12:00:00,"1990-06-16 12:00:00",1990,6,16,9,18.889,14.5,0,NA,NA
"168",19900617,1990-06-17 12:00:00,"1990-06-17 12:00:00",1990,6,17,7,23,16.111,0,NA,NA
"169",19900618,1990-06-18 12:00:00,"1990-06-18 12:00:00",1990,6,18,9.889,21.278,15.333,0.508,NA,NA
"170",19900619,1990-06-19 12:00:00,"1990-06-19 12:00:00",1990,6,19,9.778,26,18.611,0,NA,NA
"171",19900620,1990-06-20 12:00:00,"1990-06-20 12:00:00",1990,6,20,13.611,19.389,16,1.524,NA,NA
"172",19900621,1990-06-21 12:00:00,"1990-06-21 12:00:00",1990,6,21,11.5,21.389,16.444,4.318,NA,NA
"173",19900622,1990-06-22 12:00:00,"1990-06-22 12:00:00",1990,6,22,11,17.222,14.889,0,NA,NA
"174",19900623,1990-06-23 12:00:00,"1990-06-23 12:00:00",1990,6,23,11,19,14.056,4.318,NA,NA
"175",19900624,1990-06-24 12:00:00,"1990-06-24 12:00:00",1990,6,24,11,20,14.889,0.508,NA,NA
"176",19900625,1990-06-25 12:00:00,"1990-06-25 12:00:00",1990,6,25,10,25,18.167,1.524,NA,NA
"177",19900626,1990-06-26 12:00:00,"1990-06-26 12:00:00",1990,6,26,11.611,29,21.278,0,NA,NA
"178",19900627,1990-06-27 12:00:00,"1990-06-27 12:00:00",1990,6,27,14.722,28,20.111,9.906,NA,NA
"179",19900628,1990-06-28 12:00:00,"1990-06-28 12:00:00",1990,6,28,14.889,22,18.222,8.89,NA,NA
"180",19900629,1990-06-29 12:00:00,"1990-06-29 12:00:00",1990,6,29,12,29,19.611,9.906,NA,NA
"181",19900630,1990-06-30 12:00:00,"1990-06-30 12:00:00",1990,6,30,13.778,28,20.944,3.048,NA,NA
"182",19900701,1990-07-01 12:00:00,"1990-07-01 12:00:00",1990,7,1,11,19.389,16.611,4.064,NA,NA
"183",19900702,1990-07-02 12:00:00,"1990-07-02 12:00:00",1990,7,2,10,19,14.611,0,NA,NA
"184",19900703,1990-07-03 12:00:00,"1990-07-03 12:00:00",1990,7,3,10,14.389,12.167,1.524,NA,NA
"185",19900704,1990-07-04 12:00:00,"1990-07-04 12:00:00",1990,7,4,11,19,14.833,9.652,NA,NA
"186",19900705,1990-07-05 12:00:00,"1990-07-05 12:00:00",1990,7,5,12.778,18.222,14.778,1.778,NA,NA
"187",19900706,1990-07-06 12:00:00,"1990-07-06 12:00:00",1990,7,6,9,16,12.111,7.366,NA,NA
"188",19900707,1990-07-07 12:00:00,"1990-07-07 12:00:00",1990,7,7,7.611,15.5,12.278,1.524,NA,NA
"189",19900708,1990-07-08 12:00:00,"1990-07-08 12:00:00",1990,7,8,12.278,20,16.5,7.62,NA,NA
"190",19900709,1990-07-09 12:00:00,"1990-07-09 12:00:00",1990,7,9,13.778,23.778,18.556,0.254,NA,NA
"191",19900710,1990-07-10 12:00:00,"1990-07-10 12:00:00",1990,7,10,9,16.278,13.556,0.508,NA,NA
"192",19900711,1990-07-11 12:00:00,"1990-07-11 12:00:00",1990,7,11,6.778,19.389,13.722,0,NA,NA
"193",19900712,1990-07-12 12:00:00,"1990-07-12 12:00:00",1990,7,12,8,25,17,0,NA,NA
"194",19900713,1990-07-13 12:00:00,"1990-07-13 12:00:00",1990,7,13,10,27.389,20.056,0,NA,NA
"195",19900714,1990-07-14 12:00:00,"1990-07-14 12:00:00",1990,7,14,12,23.389,18.222,0,NA,NA
"196",19900715,1990-07-15 12:00:00,"1990-07-15 12:00:00",1990,7,15,8.889,26,17.778,0,NA,NA
"197",19900716,1990-07-16 12:00:00,"1990-07-16 12:00:00",1990,7,16,9.778,29,20.056,0,NA,NA
"198",19900717,1990-07-17 12:00:00,"1990-07-17 12:00:00",1990,7,17,13,22,18.944,0,NA,NA
"199",19900718,1990-07-18 12:00:00,"1990-07-18 12:00:00",1990,7,18,10.611,19,14.667,0,NA,NA
"200",19900719,1990-07-19 12:00:00,"1990-07-19 12:00:00",1990,7,19,9.722,22.611,15.778,0,NA,NA
"201",19900720,1990-07-20 12:00:00,"1990-07-20 12:00:00",1990,7,20,8.611,26,18.167,0,NA,NA
"202",19900721,1990-07-21 12:00:00,"1990-07-21 12:00:00",1990,7,21,11,29,20.944,0,NA,NA
"203",19900722,1990-07-22 12:00:00,"1990-07-22 12:00:00",1990,7,22,13.722,27.278,21.111,0,NA,NA
"204",19900723,1990-07-23 12:00:00,"1990-07-23 12:00:00",1990,7,23,13,25,18.722,0,NA,NA
"205",19900724,1990-07-24 12:00:00,"1990-07-24 12:00:00",1990,7,24,9,22.222,16.333,0,NA,NA
"206",19900725,1990-07-25 12:00:00,"1990-07-25 12:00:00",1990,7,25,8.889,24,17.222,0,NA,NA
"207",19900726,1990-07-26 12:00:00,"1990-07-26 12:00:00",1990,7,26,11,26,18.944,0,NA,NA
"208",19900727,1990-07-27 12:00:00,"1990-07-27 12:00:00",1990,7,27,10.611,29.111,20.722,0,NA,NA
"209",19900728,1990-07-28 12:00:00,"1990-07-28 12:00:00",1990,7,28,13.778,32,23.167,0,NA,NA
"210",19900729,1990-07-29 12:00:00,"1990-07-29 12:00:00",1990,7,29,16.778,28.5,22.889,0,NA,NA
"211",19900730,1990-07-30 12:00:00,"1990-07-30 12:00:00",1990,7,30,17,26,21.556,0,NA,NA
"212",19900731,1990-07-31 12:00:00,"1990-07-31 12:00:00",1990,7,31,16.722,26,21.778,0,NA,NA
"213",19900801,1990-08-01 12:00:00,"1990-08-01 12:00:00",1990,8,1,16,29,22.444,7.112,NA,NA
"214",19900802,1990-08-02 12:00:00,"1990-08-02 12:00:00",1990,8,2,15,31.278,23.222,0,NA,NA
"215",19900803,1990-08-03 12:00:00,"1990-08-03 12:00:00",1990,8,3,14,32,22.833,0,NA,NA
"216",19900804,1990-08-04 12:00:00,"1990-08-04 12:00:00",1990,8,4,12.5,31.222,22.667,0,NA,NA
"217",19900805,1990-08-05 12:00:00,"1990-08-05 12:00:00",1990,8,5,14,33.611,23.778,0,NA,NA
"218",19900806,1990-08-06 12:00:00,"1990-08-06 12:00:00",1990,8,6,13,21.222,17.5,4.318,NA,NA
"219",19900807,1990-08-07 12:00:00,"1990-08-07 12:00:00",1990,8,7,8,19,14.556,0,NA,NA
"220",19900808,1990-08-08 12:00:00,"1990-08-08 12:00:00",1990,8,8,5.722,21.278,14.667,0,NA,NA
"221",19900809,1990-08-09 12:00:00,"1990-08-09 12:00:00",1990,8,9,7.5,25.222,16.778,0,NA,NA
"222",19900810,1990-08-10 12:00:00,"1990-08-10 12:00:00",1990,8,10,8.722,28,19.278,0,NA,NA
"223",19900811,1990-08-11 12:00:00,"1990-08-11 12:00:00",1990,8,11,12,28.889,20.778,0,NA,NA
"224",19900812,1990-08-12 12:00:00,"1990-08-12 12:00:00",1990,8,12,12,32.222,23,0,NA,NA
"225",19900813,1990-08-13 12:00:00,"1990-08-13 12:00:00",1990,8,13,15,31.389,20,0.508,NA,NA
"226",19900814,1990-08-14 12:00:00,"1990-08-14 12:00:00",1990,8,14,15,21,17.444,6.096,NA,NA
"227",19900815,1990-08-15 12:00:00,"1990-08-15 12:00:00",1990,8,15,14.778,25,19.556,7.874,NA,NA
"228",19900816,1990-08-16 12:00:00,"1990-08-16 12:00:00",1990,8,16,14,26,19,0,NA,NA
"229",19900817,1990-08-17 12:00:00,"1990-08-17 12:00:00",1990,8,17,9,19.111,14.889,4.318,NA,NA
"230",19900818,1990-08-18 12:00:00,"1990-08-18 12:00:00",1990,8,18,6,22,15.333,0,NA,NA
"231",19900819,1990-08-19 12:00:00,"1990-08-19 12:00:00",1990,8,19,14,23.278,18.444,0,NA,NA
"232",19900820,1990-08-20 12:00:00,"1990-08-20 12:00:00",1990,8,20,13,26.111,19.5,0,NA,NA
"233",19900821,1990-08-21 12:00:00,"1990-08-21 12:00:00",1990,8,21,11,18,14.556,0,NA,NA
