"Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1990-03-07 12:00:00,1990,3,7,8.889,12.611,10.111,0
1990-03-08 12:00:00,1990,3,8,8,15,10.444,0
1990-03-09 12:00:00,1990,3,9,6,12,8.833,0
1990-03-10 12:00:00,1990,3,10,5.778,14,9.667,0.254
1990-03-11 12:00:00,1990,3,11,6,19,12.889,2.54
1990-03-12 12:00:00,1990,3,12,1,13,9.389,0
1990-03-13 12:00:00,1990,3,13,-1.778,13.722,7,0
1990-03-14 12:00:00,1990,3,14,2,13.222,9.5,0
1990-03-15 12:00:00,1990,3,15,-1,17,8.333,0
1990-03-16 12:00:00,1990,3,16,1,19,10.778,0
1990-03-17 12:00:00,1990,3,17,4,21.222,13.444,0
1990-03-18 12:00:00,1990,3,18,3,22,13.278,0
1990-03-19 12:00:00,1990,3,19,8.611,21,15.111,0
1990-03-20 12:00:00,1990,3,20,9.778,16,12.389,1.016
1990-03-21 12:00:00,1990,3,21,9.5,17,13.333,0
1990-03-22 12:00:00,1990,3,22,6,13.278,10.111,3.048
1990-03-23 12:00:00,1990,3,23,2.778,13.889,8.222,0
1990-03-24 12:00:00,1990,3,24,3.778,11,8.333,0
1990-03-25 12:00:00,1990,3,25,2.722,6.389,4,1.524
1990-03-26 12:00:00,1990,3,26,2,9,4.667,7.874
1990-03-27 12:00:00,1990,3,27,1,11,5.556,4.064
1990-03-28 12:00:00,1990,3,28,-1,9,4.889,0.254
1990-03-29 12:00:00,1990,3,29,4.611,12.5,7.833,3.302
1990-03-30 12:00:00,1990,3,30,-0.611,15,7.389,0
1990-03-31 12:00:00,1990,3,31,0.611,20,10.167,0
1990-04-01 12:00:00,1990,4,1,4.889,21,13.111,0
1990-04-02 12:00:00,1990,4,2,9,21,14.167,0
1990-04-03 12:00:00,1990,4,3,3,12.111,7.667,4.826
1990-04-04 12:00:00,1990,4,4,-1,6.278,3.056,6.096
1990-04-05 12:00:00,1990,4,5,-2.222,8.278,3.278,1.778
1990-04-06 12:00:00,1990,4,6,-3,13,5.722,0
1990-04-07 12:00:00,1990,4,7,2.222,13.389,7.778,0
1990-04-08 12:00:00,1990,4,8,3,10.222,6.333,0
1990-04-09 12:00:00,1990,4,9,-1.5,13,6.167,0
1990-04-10 12:00:00,1990,4,10,-4.278,13,5.444,0
1990-04-11 12:00:00,1990,4,11,4,12.778,8.722,3.81
1990-04-12 12:00:00,1990,4,12,2.778,9.389,6.556,0.254
1990-04-13 12:00:00,1990,4,13,7,14.389,10.556,2.54
1990-04-14 12:00:00,1990,4,14,4.611,10.389,7.944,0
1990-04-15 12:00:00,1990,4,15,4.611,11.278,6.889,6.096
1990-04-16 12:00:00,1990,4,16,3,10.611,6.167,0.508
1990-04-17 12:00:00,1990,4,17,3,11,6.389,4.064
1990-04-18 12:00:00,1990,4,18,1,13.278,6.333,0.254
1990-04-19 12:00:00,1990,4,19,-2,13,6.389,0
1990-04-20 12:00:00,1990,4,20,2.611,14,7.667,0.508
1990-04-21 12:00:00,1990,4,21,3.611,19.5,12.389,2.286
1990-04-22 12:00:00,1990,4,22,4.722,19.222,11.667,0
1990-04-23 12:00:00,1990,4,23,4.889,16.222,11,2.286
1990-04-24 12:00:00,1990,4,24,5.889,17.222,10.944,0
1990-04-25 12:00:00,1990,4,25,4.5,15,9.722,1.016
1990-04-26 12:00:00,1990,4,26,3.5,19,11.833,1.27
1990-04-27 12:00:00,1990,4,27,1,12.889,9.278,0.254
1990-04-28 12:00:00,1990,4,28,-0.222,13,6.611,1.016
1990-04-29 12:00:00,1990,4,29,2,19,11,0
1990-04-30 12:00:00,1990,4,30,5,22.722,14.333,0
1990-05-01 12:00:00,1990,5,1,6.722,26,17.444,0
1990-05-02 12:00:00,1990,5,2,8.778,27.111,19.778,0
1990-05-03 12:00:00,1990,5,3,11.611,26,19.167,0
1990-05-04 12:00:00,1990,5,4,7,27,19.056,0
1990-05-05 12:00:00,1990,5,5,8.611,28,19.444,0
1990-05-06 12:00:00,1990,5,6,9.611,27.278,19.722,0
1990-05-07 12:00:00,1990,5,7,10.889,25.722,17.389,0
1990-05-08 12:00:00,1990,5,8,8.722,23.889,15.833,0
1990-05-09 12:00:00,1990,5,9,8.389,23,14.611,13.97
1990-05-10 12:00:00,1990,5,10,9.5,15.111,12.5,7.874
1990-05-11 12:00:00,1990,5,11,7,16.889,11.5,4.064
1990-05-12 12:00:00,1990,5,12,6.778,12.389,9.889,11.938
1990-05-13 12:00:00,1990,5,13,7.5,15,11.222,0
1990-05-14 12:00:00,1990,5,14,5,15.278,11.389,0
1990-05-15 12:00:00,1990,5,15,4,22,14.222,0
1990-05-16 12:00:00,1990,5,16,12,23.222,17.667,0
1990-05-17 12:00:00,1990,5,17,9,21.111,15.389,0
1990-05-18 12:00:00,1990,5,18,6,18,12,0
1990-05-19 12:00:00,1990,5,19,2.778,21.222,13.833,0
1990-05-20 12:00:00,1990,5,20,7.389,23,17.111,0
1990-05-21 12:00:00,1990,5,21,8,22.722,16.944,0
1990-05-22 12:00:00,1990,5,22,8.778,23,15.889,0
1990-05-23 12:00:00,1990,5,23,7.5,24,16.056,0
1990-05-24 12:00:00,1990,5,24,5.889,21,14.611,0
1990-05-25 12:00:00,1990,5,25,3,16,10.5,0
1990-05-26 12:00:00,1990,5,26,1.278,17,10.167,0
1990-05-27 12:00:00,1990,5,27,1,19,11.167,0
1990-05-28 12:00:00,1990,5,28,4,15.389,10.222,0
1990-05-29 12:00:00,1990,5,29,0.611,20.111,11.444,0
1990-05-30 12:00:00,1990,5,30,4.611,22.5,14.333,0
1990-05-31 12:00:00,1990,5,31,4.722,25,15.944,0
1990-06-01 12:00:00,1990,6,1,8,27.389,19.222,0
1990-06-02 12:00:00,1990,6,2,12,19.278,15,6.858
1990-06-03 12:00:00,1990,6,3,8.889,18,13.278,1.524
1990-06-04 12:00:00,1990,6,4,8,17,12.5,7.112
1990-06-05 12:00:00,1990,6,5,7,19.222,14.333,1.016
1990-06-06 12:00:00,1990,6,6,12,18.889,14.833,0
1990-06-07 12:00:00,1990,6,7,12,16,13.611,2.54
1990-06-08 12:00:00,1990,6,8,9.5,16.222,11.722,17.018
1990-06-09 12:00:00,1990,6,9,9.222,17.278,12.056,5.588
1990-06-10 12:00:00,1990,6,10,10,15,12.611,3.302
1990-06-11 12:00:00,1990,6,11,11,15,12.778,1.778
1990-06-12 12:00:00,1990,6,12,11,16.111,13.667,0
1990-06-13 12:00:00,1990,6,13,9.222,17,13.444,0
1990-06-14 12:00:00,1990,6,14,11,17,13.833,0
1990-06-15 12:00:00,1990,6,15,7,17.222,13.889,0
1990-06-16 12:00:00,1990,6,16,8.889,21.389,15.667,0
1990-06-17 12:00:00,1990,6,17,7.778,25,16.833,0
1990-06-18 12:00:00,1990,6,18,11,24.222,17.333,182.88
1990-06-19 12:00:00,1990,6,19,14,24,17.944,1.524
1990-06-20 12:00:00,1990,6,20,14,19,16.333,1.27
1990-06-21 12:00:00,1990,6,21,10.889,20.111,16.056,5.08
1990-06-22 12:00:00,1990,6,22,12.611,18.722,15.5,2.032
1990-06-23 12:00:00,1990,6,23,11,20,14.111,4.064
1990-06-24 12:00:00,1990,6,24,5.389,23.389,16.278,4.826
1990-06-25 12:00:00,1990,6,25,14,25,19.389,0
1990-06-26 12:00:00,1990,6,26,12.722,30,22.611,0
1990-06-27 12:00:00,1990,6,27,17.278,25,20.667,4.064
1990-06-28 12:00:00,1990,6,28,15,24.278,20,0
1990-06-29 12:00:00,1990,6,29,12.278,25.889,18.111,10.922
1990-06-30 12:00:00,1990,6,30,14.722,25.222,19.611,0
1990-07-01 12:00:00,1990,7,1,12,19.611,15.611,1.016
1990-07-02 12:00:00,1990,7,2,9,18.611,13.944,1.778
1990-07-03 12:00:00,1990,7,3,8,19,13.611,0
1990-07-04 12:00:00,1990,7,4,8,21,14.833,0
1990-07-05 12:00:00,1990,7,5,10.5,20,15.389,0
1990-07-06 12:00:00,1990,7,6,10,16.222,13.111,10.414
1990-07-07 12:00:00,1990,7,7,9,16.389,13.111,2.286
1990-07-08 12:00:00,1990,7,8,13.222,24.611,19.056,7.62
1990-07-09 12:00:00,1990,7,9,14,21,17.111,6.858
1990-07-10 12:00:00,1990,7,10,12,18,14,0
1990-07-11 12:00:00,1990,7,11,7.611,23,15.389,5.334
1990-07-12 12:00:00,1990,7,12,8.722,26.722,18.722,0
1990-07-13 12:00:00,1990,7,13,11.722,25.222,19.056,0
1990-07-14 12:00:00,1990,7,14,8.222,24,16.778,0
1990-07-15 12:00:00,1990,7,15,9.722,27,18.722,0
1990-07-16 12:00:00,1990,7,16,11,29.5,21.056,0
1990-07-17 12:00:00,1990,7,17,12,22,17.111,0
1990-07-18 12:00:00,1990,7,18,9,19.222,14.667,0
1990-07-19 12:00:00,1990,7,19,7,24,15.5,0
1990-07-20 12:00:00,1990,7,20,8,27,18.556,0
1990-07-21 12:00:00,1990,7,21,12,29.5,21.333,0
1990-07-22 12:00:00,1990,7,22,11.778,24,18.611,0
1990-07-23 12:00:00,1990,7,23,7,21,14.444,0
1990-07-24 12:00:00,1990,7,24,5,19,13.5,0
1990-07-25 12:00:00,1990,7,25,8,18,14.667,0
1990-07-26 12:00:00,1990,7,26,6.722,27,18.278,0
1990-07-27 12:00:00,1990,7,27,15.389,30,23.5,0
1990-07-28 12:00:00,1990,7,28,19,32,24.333,0
1990-07-29 12:00:00,1990,7,29,15,23,19,2.54
1990-07-30 12:00:00,1990,7,30,11.889,28,20.111,7.874
1990-07-31 12:00:00,1990,7,31,12.5,30.278,22,0
1990-08-01 12:00:00,1990,8,1,15.389,31.389,23.556,0
1990-08-02 12:00:00,1990,8,2,13.5,33,24.222,0
1990-08-03 12:00:00,1990,8,3,14.5,34,24.889,0
1990-08-04 12:00:00,1990,8,4,16.389,36.389,27,0
1990-08-05 12:00:00,1990,8,5,16,30.222,22.722,0
1990-08-06 12:00:00,1990,8,6,10,22.389,14.944,0
1990-08-07 12:00:00,1990,8,7,7.389,20.5,14.167,2.286
1990-08-08 12:00:00,1990,8,8,6,23.111,14.556,0
1990-08-09 12:00:00,1990,8,9,6.778,26.278,17.278,0
1990-08-10 12:00:00,1990,8,10,13,25.111,18.333,0
1990-08-11 12:00:00,1990,8,11,12,30.222,22,0
1990-08-12 12:00:00,1990,8,12,13.889,34.611,24.889,0
1990-08-13 12:00:00,1990,8,13,19,30.278,24.056,0
1990-08-14 12:00:00,1990,8,14,17,24,19.333,3.302
1990-08-15 12:00:00,1990,8,15,14.5,25.889,20.222,15.748
1990-08-16 12:00:00,1990,8,16,13,22.5,18,6.858
1990-08-17 12:00:00,1990,8,17,11,21,15.778,0.508
1990-08-18 12:00:00,1990,8,18,12,16.278,14,0
1990-08-19 12:00:00,1990,8,19,11.611,21,16.389,10.414
1990-08-20 12:00:00,1990,8,20,14,21,17.778,1.27
1990-08-21 12:00:00,1990,8,21,12,17.278,14.889,9.398
1990-08-22 12:00:00,1990,8,22,12.722,20.5,16.333,0.254
1990-08-23 12:00:00,1990,8,23,15,23.611,18.556,0
1990-08-24 12:00:00,1990,8,24,12.722,27.222,20.722,0
1990-08-25 12:00:00,1990,8,25,13.611,28,21.222,0
1990-08-26 12:00:00,1990,8,26,15.722,26.5,20.5,0
1990-08-27 12:00:00,1990,8,27,16,27.111,21.111,0
1990-08-28 12:00:00,1990,8,28,13.722,29,20.889,0
1990-08-29 12:00:00,1990,8,29,14,29.222,20.889,0
1990-08-30 12:00:00,1990,8,30,15,22.222,19.389,4.826
1990-08-31 12:00:00,1990,8,31,11,15.111,12.611,4.826
1990-09-01 12:00:00,1990,9,1,11,17,13.389,58.674
1990-09-02 12:00:00,1990,9,2,13.611,18.111,15.444,7.62
1990-09-03 12:00:00,1990,9,3,12,18.278,15.611,4.826
1990-09-04 12:00:00,1990,9,4,10,17.278,13.556,9.398
1990-09-05 12:00:00,1990,9,5,7.389,18.278,12.667,7.366
1990-09-06 12:00:00,1990,9,6,10.389,18,13.778,0
1990-09-07 12:00:00,1990,9,7,8.611,15,11.389,10.414
1990-09-08 12:00:00,1990,9,8,8.778,18.389,13.167,1.524
1990-09-09 12:00:00,1990,9,9,8,18.389,12.556,2.794
1990-09-10 12:00:00,1990,9,10,7.611,16,11.611,0
1990-09-11 12:00:00,1990,9,11,9,18,13,0
1990-09-12 12:00:00,1990,9,12,6,17.111,12.111,0.254
1990-09-13 12:00:00,1990,9,13,7.778,20,12.722,0.254
1990-09-14 12:00:00,1990,9,14,8,20.611,13.278,0
1990-09-15 12:00:00,1990,9,15,6,15.611,11.111,0
1990-09-16 12:00:00,1990,9,16,5,17.278,11.611,0
1990-09-17 12:00:00,1990,9,17,1.889,16.222,10.222,0
1990-09-18 12:00:00,1990,9,18,7.611,17,12.5,1.524
1990-09-19 12:00:00,1990,9,19,10,19,14.167,0
1990-09-20 12:00:00,1990,9,20,9,13.222,11,0.254
1990-09-21 12:00:00,1990,9,21,7,13,10.556,1.27
1990-09-22 12:00:00,1990,9,22,7.611,14.222,10.667,0
1990-09-23 12:00:00,1990,9,23,9.778,19,13.333,2.032
1990-09-24 12:00:00,1990,9,24,9,16,11.167,1.016
1990-09-25 12:00:00,1990,9,25,5,14,10.278,1.778
1990-09-26 12:00:00,1990,9,26,4,14.389,9.5,3.302
1990-09-27 12:00:00,1990,9,27,5,14,9.556,0
1990-09-28 12:00:00,1990,9,28,6,18,11.556,0
1990-09-29 12:00:00,1990,9,29,3.389,19.611,12.167,0
1990-09-30 12:00:00,1990,9,30,12,18.722,15.778,3.048
1990-10-01 12:00:00,1990,10,1,9,17,14.111,39.878
1990-10-02 12:00:00,1990,10,2,9.222,16,12.722,0.254
1990-10-03 12:00:00,1990,10,3,12,22.222,16.722,0
1990-10-04 12:00:00,1990,10,4,7,18.278,12.278,11.938
1990-10-05 12:00:00,1990,10,5,6.889,15.611,11.667,0
1990-10-06 12:00:00,1990,10,6,12.389,22.222,17.056,0.508
1990-10-07 12:00:00,1990,10,7,7,15.611,12.389,0
1990-10-08 12:00:00,1990,10,8,4.889,11.222,8.278,0.254
1990-10-09 12:00:00,1990,10,9,5,15,9.333,0
1990-10-10 12:00:00,1990,10,10,5.889,16,12.056,0
1990-10-11 12:00:00,1990,10,11,7.722,18.389,12.5,0
1990-10-12 12:00:00,1990,10,12,7.778,24,14.5,0
1990-10-13 12:00:00,1990,10,13,11.278,24,17.167,0
1990-10-14 12:00:00,1990,10,14,14,23,18.056,0
1990-10-15 12:00:00,1990,10,15,15,22,18.778,0
1990-10-16 12:00:00,1990,10,16,14.722,20.778,17.611,0.508
1990-10-17 12:00:00,1990,10,17,13,18.278,15.278,0
1990-10-18 12:00:00,1990,10,18,12,18.111,14.444,0
1990-10-19 12:00:00,1990,10,19,10,19.389,14.444,0
1990-10-20 12:00:00,1990,10,20,7,20,12.389,0
1990-10-21 12:00:00,1990,10,21,6,13,10,0
1990-10-22 12:00:00,1990,10,22,4.611,13.278,8.111,0
1990-10-23 12:00:00,1990,10,23,2,14.278,7.722,0
1990-10-24 12:00:00,1990,10,24,4,17,9.556,0
1990-10-25 12:00:00,1990,10,25,7,16.389,11.444,0
1990-10-26 12:00:00,1990,10,26,8,14,10.722,0.508
1990-10-27 12:00:00,1990,10,27,6.778,11.722,9.167,0.508
1990-10-28 12:00:00,1990,10,28,8.222,12,10.556,1.016
1990-10-29 12:00:00,1990,10,29,6,12,8.389,21.59
1990-10-30 12:00:00,1990,10,30,6.389,13,9.222,8.636
1990-10-31 12:00:00,1990,10,31,7,14.222,10.389,0
1990-11-01 12:00:00,1990,11,1,7,13,9.944,0
1990-11-02 12:00:00,1990,11,2,5,11.611,7.722,0.508
1990-11-03 12:00:00,1990,11,3,4,9.611,6.556,2.032
1990-11-04 12:00:00,1990,11,4,3.611,7.5,5.389,5.08
1990-11-05 12:00:00,1990,11,5,1,7,4.389,0.508
1990-11-06 12:00:00,1990,11,6,-1,8,2.889,0
1990-11-07 12:00:00,1990,11,7,-0.389,6,3.611,0
1990-11-08 12:00:00,1990,11,8,2,7,5.167,0
1990-11-09 12:00:00,1990,11,9,0.778,9.222,4.778,0
1990-11-10 12:00:00,1990,11,10,2.889,8,5.722,1.016
1990-11-11 12:00:00,1990,11,11,6.889,12.222,9.556,5.334
1990-11-12 12:00:00,1990,11,12,6,12,9,14.224
1990-11-13 12:00:00,1990,11,13,6,10.5,8.889,0
1990-11-14 12:00:00,1990,11,14,7.889,12,10.278,6.35
1990-11-15 12:00:00,1990,11,15,7,11,9.222,6.604
1990-11-16 12:00:00,1990,11,16,6,13.389,9.889,2.794
1990-11-17 12:00:00,1990,11,17,9,14.389,12.778,0
1990-11-18 12:00:00,1990,11,18,6,10.111,8.389,10.922
1990-11-19 12:00:00,1990,11,19,4.889,8.389,6.722,8.382
1990-11-20 12:00:00,1990,11,20,4.611,9.222,7,4.826
1990-11-21 12:00:00,1990,11,21,1,7.5,4.056,4.826
1990-11-22 12:00:00,1990,11,22,-2,9,2.5,0
1990-11-23 12:00:00,1990,11,23,-3,1.5,-0.167,0
1990-11-24 12:00:00,1990,11,24,0.222,6,2.944,4.572
1990-11-25 12:00:00,1990,11,25,3,7,5,0
1990-11-26 12:00:00,1990,11,26,3.778,8,5.667,0
1990-11-27 12:00:00,1990,11,27,1,9.389,4.556,0
1990-11-28 12:00:00,1990,11,28,1.278,5,4.056,0
1990-11-29 12:00:00,1990,11,29,1.889,4,3.056,0
1990-11-30 12:00:00,1990,11,30,-4,5,1.944,3.81
1990-12-01 12:00:00,1990,12,1,-6.611,1,-1.944,0
1990-12-02 12:00:00,1990,12,2,-0.222,6.222,3.778,1.524
1990-12-03 12:00:00,1990,12,3,4,6.278,5.056,1.524
1990-12-04 12:00:00,1990,12,4,4.5,7.389,6,1.27
1990-12-05 12:00:00,1990,12,5,-4.389,6,1.556,1.524
1990-12-06 12:00:00,1990,12,6,-6,4,-1.833,0
1990-12-07 12:00:00,1990,12,7,-4.222,2.278,-1.111,0
1990-12-08 12:00:00,1990,12,8,-4,2.611,-0.444,0
1990-12-09 12:00:00,1990,12,9,-1.278,4,0.667,0
1990-12-10 12:00:00,1990,12,10,-0.5,2,0.889,0
1990-12-11 12:00:00,1990,12,11,0,2,1.389,6.35
1990-12-12 12:00:00,1990,12,12,1,5,3.222,8.89
1990-12-13 12:00:00,1990,12,13,0,4.722,3.444,12.192
1990-12-14 12:00:00,1990,12,14,-2,3.222,1.5,0
1990-12-15 12:00:00,1990,12,15,-2,1,-0.111,1.016
1990-12-16 12:00:00,1990,12,16,-4.389,1,-0.944,0.762
1990-12-17 12:00:00,1990,12,17,-2,2.611,0.444,0
1990-12-18 12:00:00,1990,12,18,-3.111,0,-1.278,0
1990-12-19 12:00:00,1990,12,19,-2,1,-0.889,0
1990-12-20 12:00:00,1990,12,20,-1,4,2.444,2.286
1990-12-21 12:00:00,1990,12,21,3,6.111,4.722,3.556
1990-12-22 12:00:00,1990,12,22,3.889,7.222,5.944,1.27
1990-12-23 12:00:00,1990,12,23,6,7.389,6.444,2.794
1990-12-24 12:00:00,1990,12,24,1.5,6,4.778,0
1990-12-25 12:00:00,1990,12,25,1.889,6,4.056,0
1990-12-26 12:00:00,1990,12,26,2,9,4.556,4.572
1990-12-27 12:00:00,1990,12,27,3,9,5.889,2.032
1990-12-28 12:00:00,1990,12,28,-0.111,7.222,3.889,0.508
1990-12-29 12:00:00,1990,12,29,5.278,11,8.611,0.508
1990-12-30 12:00:00,1990,12,30,2.889,10,7.167,20.066
1990-12-31 12:00:00,1990,12,31,1.611,7,3.944,0.254
1991-01-01 12:00:00,1991,1,1,2,7.278,4.778,3.81
1991-01-02 12:00:00,1991,1,2,2,13,9.556,1.27
1991-01-03 12:00:00,1991,1,3,7,13.222,9.056,5.334
1991-01-04 12:00:00,1991,1,4,4,9.222,6.722,7.112
1991-01-05 12:00:00,1991,1,5,2,7.222,5.556,1.016
1991-01-06 12:00:00,1991,1,6,3,8.111,5.667,1.27
1991-01-07 12:00:00,1991,1,7,2.5,10.222,5.667,0
1991-01-08 12:00:00,1991,1,8,2.5,10.222,7.611,0.508
1991-01-09 12:00:00,1991,1,9,6,12,9.111,1.016
1991-01-10 12:00:00,1991,1,10,7,16,10.889,0.762
1991-01-11 12:00:00,1991,1,11,5,8.778,7.111,10.414
1991-01-12 12:00:00,1991,1,12,2,6.389,4.278,1.778
1991-01-13 12:00:00,1991,1,13,-5,5.5,1.778,1.016
1991-01-14 12:00:00,1991,1,14,-5.222,5,0.556,0
1991-01-15 12:00:00,1991,1,15,-1,7,2.222,0
1991-01-16 12:00:00,1991,1,16,-4,3,-0.667,0
1991-01-17 12:00:00,1991,1,17,-2.111,4.5,0.056,0
1991-01-18 12:00:00,1991,1,18,-3.278,5,-0.389,0
1991-01-19 12:00:00,1991,1,19,-2,1.111,-0.333,0
1991-01-20 12:00:00,1991,1,20,-0.278,3.111,1,5.842
1991-01-21 12:00:00,1991,1,21,-0.278,6.111,3.333,3.048
1991-01-22 12:00:00,1991,1,22,-2.222,6.389,2.278,1.524
1991-01-23 12:00:00,1991,1,23,-3.222,2,0.222,0
1991-01-24 12:00:00,1991,1,24,-4,2,0.278,0
1991-01-25 12:00:00,1991,1,25,-6,2.5,-1.556,0
1991-01-26 12:00:00,1991,1,26,-1.611,0.111,-0.611,0
1991-01-27 12:00:00,1991,1,27,-1,3.111,1.389,0
1991-01-28 12:00:00,1991,1,28,-2,4,1,0
1991-01-29 12:00:00,1991,1,29,-7.389,5,-1.5,0
1991-01-30 12:00:00,1991,1,30,-6.222,2.389,-0.833,0
1991-01-31 12:00:00,1991,1,31,-4,2.722,-1.556,0
1991-02-01 12:00:00,1991,2,1,-9,1.111,-4.667,0
1991-02-02 12:00:00,1991,2,2,-10.389,1,-4.889,0
1991-02-03 12:00:00,1991,2,3,-11,1,-5.167,0
1991-02-04 12:00:00,1991,2,4,-7.611,4,-2.333,0
1991-02-05 12:00:00,1991,2,5,-8.611,1.5,-3,0
1991-02-06 12:00:00,1991,2,6,-16.278,-4,-10.056,1.27
1991-02-07 12:00:00,1991,2,7,-17.111,-3.889,-9.333,0
1991-02-08 12:00:00,1991,2,8,-8,-2.778,-5.5,0
1991-02-09 12:00:00,1991,2,9,-8.389,-1.722,-5.278,0.508
1991-02-10 12:00:00,1991,2,10,-8.389,-0.778,-4.5,0.254
1991-02-11 12:00:00,1991,2,11,-5,-0.778,-3.333,1.27
1991-02-12 12:00:00,1991,2,12,-4.389,-2.889,-3.278,1.524
1991-02-13 12:00:00,1991,2,13,-6.278,0.222,-3.167,0.508
1991-02-14 12:00:00,1991,2,14,-8,0,-3.333,0.508
1991-02-15 12:00:00,1991,2,15,-2.389,1.5,-0.056,0.508
1991-02-16 12:00:00,1991,2,16,-0.889,2.889,1.333,5.842
1991-02-17 12:00:00,1991,2,17,-7,3.611,-1.167,0.254
1991-02-18 12:00:00,1991,2,18,-9,5.222,-2.167,0
1991-02-19 12:00:00,1991,2,19,-3.889,7,1.389,0
1991-02-20 12:00:00,1991,2,20,-1,12,4.111,0
1991-02-21 12:00:00,1991,2,21,2.222,12.5,6.889,0
1991-02-22 12:00:00,1991,2,22,2.722,10,6.444,0.254
1991-02-23 12:00:00,1991,2,23,4,10,8.389,0
1991-02-24 12:00:00,1991,2,24,4.778,18,10.056,0.254
1991-02-25 12:00:00,1991,2,25,1,9.278,5.889,0
1991-02-26 12:00:00,1991,2,26,0,15,6.667,0
