"","YEARMODA","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
"29",19730129,1973-01-29 12:00:00,1973-01-29 12:00:00,1973,1,29,3,9,6.611,2.032,NA,NA,FALSE,FALSE
"30",19730130,1973-01-30 12:00:00,1973-01-30 12:00:00,1973,1,30,6,8,7.278,0,NA,NA,FALSE,FALSE
"31",19730131,1973-01-31 12:00:00,1973-01-31 12:00:00,1973,1,31,2,6,5.167,4.064,NA,NA,FALSE,FALSE
"32",19730201,1973-02-01 12:00:00,1973-02-01 12:00:00,1973,2,1,0,5,2.222,0,NA,NA,FALSE,FALSE
"33",19730202,1973-02-02 12:00:00,1973-02-02 12:00:00,1973,2,2,-2,5,1.611,0,NA,NA,FALSE,FALSE
"34",19730203,1973-02-03 12:00:00,1973-02-03 12:00:00,1973,2,3,-3,0,-0.833,0,NA,NA,FALSE,FALSE
"35",19730204,1973-02-04 12:00:00,1973-02-04 12:00:00,1973,2,4,-3,6,-0.667,0,NA,NA,FALSE,FALSE
"36",19730205,1973-02-05 12:00:00,1973-02-05 12:00:00,1973,2,5,-5,2,-0.889,0,NA,NA,FALSE,FALSE
"37",19730206,1973-02-06 12:00:00,1973-02-06 12:00:00,1973,2,6,2,7,5.278,0.254,NA,NA,FALSE,FALSE
"38",19730207,1973-02-07 12:00:00,1973-02-07 12:00:00,1973,2,7,6,8,7.389,1.016,NA,NA,FALSE,FALSE
"39",19730208,1973-02-08 12:00:00,1973-02-08 12:00:00,1973,2,8,5,8,6.556,7.112,NA,NA,FALSE,FALSE
"40",19730209,1973-02-09 12:00:00,1973-02-09 12:00:00,1973,2,9,3,7,5.778,1.016,NA,NA,FALSE,FALSE
"41",19730210,1973-02-10 12:00:00,1973-02-10 12:00:00,1973,2,10,1,5,3,1.016,NA,NA,FALSE,FALSE
"42",19730211,1973-02-11 12:00:00,1973-02-11 12:00:00,1973,2,11,1,7,3.111,6.096,NA,NA,FALSE,FALSE
"43",19730212,1973-02-12 12:00:00,1973-02-12 12:00:00,1973,2,12,2,6,4.889,2.032,NA,NA,FALSE,FALSE
"44",19730213,1973-02-13 12:00:00,1973-02-13 12:00:00,1973,2,13,0,6,2.722,3.302,NA,NA,FALSE,FALSE
"45",19730214,1973-02-14 12:00:00,1973-02-14 12:00:00,1973,2,14,0,5,2.389,0,NA,NA,FALSE,FALSE
"46",19730215,1973-02-15 12:00:00,1973-02-15 12:00:00,1973,2,15,-1,8,2.111,0,NA,NA,FALSE,FALSE
"47",19730216,1973-02-16 12:00:00,1973-02-16 12:00:00,1973,2,16,-5,7,0.722,0,NA,NA,FALSE,FALSE
"48",19730217,1973-02-17 12:00:00,1973-02-17 12:00:00,1973,2,17,-4,3,0.056,2.032,NA,NA,FALSE,FALSE
"49",19730218,1973-02-18 12:00:00,1973-02-18 12:00:00,1973,2,18,1,2,1.389,6.604,NA,NA,FALSE,FALSE
"50",19730219,1973-02-19 12:00:00,1973-02-19 12:00:00,1973,2,19,1,4,3,1.27,NA,NA,FALSE,FALSE
"51",19730220,1973-02-20 12:00:00,1973-02-20 12:00:00,1973,2,20,2,6,4.389,0.508,NA,NA,FALSE,FALSE
"52",19730221,1973-02-21 12:00:00,1973-02-21 12:00:00,1973,2,21,5,8,6.889,2.54,NA,NA,FALSE,FALSE
"53",19730222,1973-02-22 12:00:00,1973-02-22 12:00:00,1973,2,22,4,8,5.222,6.096,NA,NA,FALSE,FALSE
"54",19730223,1973-02-23 12:00:00,1973-02-23 12:00:00,1973,2,23,0,6,2.444,6.096,NA,NA,FALSE,FALSE
"55",19730224,1973-02-24 12:00:00,1973-02-24 12:00:00,1973,2,24,-1,3,1.222,8.89,NA,NA,FALSE,FALSE
"56",19730225,1973-02-25 12:00:00,1973-02-25 12:00:00,1973,2,25,-2,5,1.389,0,NA,NA,FALSE,FALSE
"57",19730226,1973-02-26 12:00:00,1973-02-26 12:00:00,1973,2,26,-3,3,-0.889,1.524,NA,NA,FALSE,FALSE
"58",19730227,1973-02-27 12:00:00,1973-02-27 12:00:00,1973,2,27,-4,4,-1.444,0,NA,NA,FALSE,FALSE
"59",19730228,1973-02-28 12:00:00,1973-02-28 12:00:00,1973,2,28,-6,5,0.556,0.254,NA,NA,FALSE,FALSE
"60",19730301,1973-03-01 12:00:00,1973-03-01 12:00:00,1973,3,1,2,9,4.278,0,NA,NA,FALSE,FALSE
"61",19730302,1973-03-02 12:00:00,1973-03-02 12:00:00,1973,3,2,2,7,3.889,4.064,NA,NA,FALSE,FALSE
"62",19730303,1973-03-03 12:00:00,1973-03-03 12:00:00,1973,3,3,-2,7,3.944,0,NA,NA,FALSE,FALSE
"63",19730304,1973-03-04 12:00:00,1973-03-04 12:00:00,1973,3,4,5,11,7.722,6.096,NA,NA,FALSE,FALSE
"64",19730305,1973-03-05 12:00:00,1973-03-05 12:00:00,1973,3,5,0,14,7.722,0,NA,NA,FALSE,FALSE
"65",19730306,1973-03-06 12:00:00,1973-03-06 12:00:00,1973,3,6,3,9,7.111,0.254,NA,NA,FALSE,FALSE
"66",19730307,1973-03-07 12:00:00,1973-03-07 12:00:00,1973,3,7,-2,8,3.5,5.08,NA,NA,FALSE,FALSE
"67",19730308,1973-03-08 12:00:00,1973-03-08 12:00:00,1973,3,8,-3,8,3.556,0,NA,NA,FALSE,FALSE
"68",19730309,1973-03-09 12:00:00,1973-03-09 12:00:00,1973,3,9,-2,10,5.444,0,NA,NA,FALSE,FALSE
"69",19730310,1973-03-10 12:00:00,1973-03-10 12:00:00,1973,3,10,-5,9,1.778,0,NA,NA,FALSE,FALSE
"70",19730311,1973-03-11 12:00:00,1973-03-11 12:00:00,1973,3,11,-4,3,0.944,0,NA,NA,FALSE,FALSE
"71",19730312,1973-03-12 12:00:00,1973-03-12 12:00:00,1973,3,12,-1,6,3.056,0,NA,NA,FALSE,FALSE
"72",19730313,1973-03-13 12:00:00,1973-03-13 12:00:00,1973,3,13,-2,7,2.611,0,NA,NA,FALSE,FALSE
"73",19730314,1973-03-14 12:00:00,1973-03-14 12:00:00,1973,3,14,-5,10,1.889,0,NA,NA,FALSE,FALSE
"74",19730315,1973-03-15 12:00:00,1973-03-15 12:00:00,1973,3,15,-4,9,3.222,0,NA,NA,FALSE,FALSE
"75",19730316,1973-03-16 12:00:00,1973-03-16 12:00:00,1973,3,16,-4,11,2.944,0,NA,NA,FALSE,FALSE
"76",19730317,1973-03-17 12:00:00,1973-03-17 12:00:00,1973,3,17,-4,7,2.278,0,NA,NA,FALSE,FALSE
"77",19730318,1973-03-18 12:00:00,1973-03-18 12:00:00,1973,3,18,5,8,6.389,1.27,NA,NA,FALSE,FALSE
"78",19730319,1973-03-19 12:00:00,1973-03-19 12:00:00,1973,3,19,3,8,5,0,NA,NA,FALSE,FALSE
"79",19730320,1973-03-20 12:00:00,1973-03-20 12:00:00,1973,3,20,2,9,5.778,0,NA,NA,FALSE,FALSE
"80",19730321,1973-03-21 12:00:00,1973-03-21 12:00:00,1973,3,21,2,11,6.5,0,NA,NA,FALSE,FALSE
"81",19730322,1973-03-22 12:00:00,1973-03-22 12:00:00,1973,3,22,-2,15,5.889,0,NA,NA,FALSE,FALSE
"82",19730323,1973-03-23 12:00:00,1973-03-23 12:00:00,1973,3,23,-1,18,8.056,0,NA,NA,FALSE,FALSE
"83",19730324,1973-03-24 12:00:00,1973-03-24 12:00:00,1973,3,24,1,21,11.056,0,NA,NA,FALSE,FALSE
"84",19730325,1973-03-25 12:00:00,1973-03-25 12:00:00,1973,3,25,2,14,8.278,1.016,NA,NA,FALSE,FALSE
"85",19730326,1973-03-26 12:00:00,1973-03-26 12:00:00,1973,3,26,1,14,8,0.254,NA,NA,FALSE,FALSE
"86",19730327,1973-03-27 12:00:00,1973-03-27 12:00:00,1973,3,27,5,9,7.444,6.096,NA,NA,FALSE,FALSE
"87",19730328,1973-03-28 12:00:00,1973-03-28 12:00:00,1973,3,28,2,12,6.833,0,NA,NA,FALSE,FALSE
"88",19730329,1973-03-29 12:00:00,1973-03-29 12:00:00,1973,3,29,-1,12,5.556,0,NA,NA,FALSE,FALSE
"89",19730330,1973-03-30 12:00:00,1973-03-30 12:00:00,1973,3,30,-2,13,6.111,0,NA,NA,FALSE,FALSE
"90",19730331,1973-03-31 12:00:00,1973-03-31 12:00:00,1973,3,31,1,12,7.333,0,NA,NA,FALSE,FALSE
"91",19730401,1973-04-01 12:00:00,1973-04-01 12:00:00,1973,4,1,-1,10,6.111,0,NA,NA,FALSE,FALSE
"92",19730402,1973-04-02 12:00:00,1973-04-02 12:00:00,1973,4,2,4,10,6.5,5.588,NA,NA,FALSE,FALSE
"93",19730403,1973-04-03 12:00:00,1973-04-03 12:00:00,1973,4,3,1,7,4.056,1.27,NA,NA,FALSE,FALSE
"94",19730404,1973-04-04 12:00:00,1973-04-04 12:00:00,1973,4,4,-4,10,4.333,0,NA,NA,FALSE,FALSE
"95",19730405,1973-04-05 12:00:00,1973-04-05 12:00:00,1973,4,5,7,11,9.333,2.032,NA,NA,FALSE,FALSE
"96",19730406,1973-04-06 12:00:00,1973-04-06 12:00:00,1973,4,6,6,11,8.611,1.016,NA,NA,FALSE,FALSE
"97",19730407,1973-04-07 12:00:00,1973-04-07 12:00:00,1973,4,7,3,8,5.111,2.54,NA,NA,FALSE,FALSE
"98",19730408,1973-04-08 12:00:00,1973-04-08 12:00:00,1973,4,8,-1,8,3.944,0,NA,NA,FALSE,FALSE
"99",19730409,1973-04-09 12:00:00,1973-04-09 12:00:00,1973,4,9,-4,9,3.556,0,NA,NA,FALSE,FALSE
"100",19730410,1973-04-10 12:00:00,1973-04-10 12:00:00,1973,4,10,3,8,5.056,0,NA,NA,FALSE,FALSE
"101",19730411,1973-04-11 12:00:00,1973-04-11 12:00:00,1973,4,11,3,7,4.889,3.048,NA,NA,FALSE,FALSE
"102",19730412,1973-04-12 12:00:00,1973-04-12 12:00:00,1973,4,12,1,6,3.222,7.112,NA,NA,FALSE,FALSE
"103",19730413,1973-04-13 12:00:00,1973-04-13 12:00:00,1973,4,13,-3,8,2.278,1.016,NA,NA,FALSE,FALSE
"104",19730414,1973-04-14 12:00:00,1973-04-14 12:00:00,1973,4,14,0,9,4.722,0,NA,NA,FALSE,FALSE
"105",19730415,1973-04-15 12:00:00,1973-04-15 12:00:00,1973,4,15,3,9,5.611,4.064,NA,NA,FALSE,FALSE
"106",19730416,1973-04-16 12:00:00,1973-04-16 12:00:00,1973,4,16,-1,10,5.889,0.254,NA,NA,FALSE,FALSE
"107",19730417,1973-04-17 12:00:00,1973-04-17 12:00:00,1973,4,17,6,11,8.222,2.54,NA,NA,FALSE,FALSE
"108",19730418,1973-04-18 12:00:00,1973-04-18 12:00:00,1973,4,18,4,9,6.389,12.954,NA,NA,FALSE,FALSE
"109",19730419,1973-04-19 12:00:00,1973-04-19 12:00:00,1973,4,19,2,8,4.167,11.938,NA,NA,FALSE,FALSE
"110",19730420,1973-04-20 12:00:00,1973-04-20 12:00:00,1973,4,20,1,9,3.833,7.112,NA,NA,FALSE,FALSE
"111",19730421,1973-04-21 12:00:00,1973-04-21 12:00:00,1973,4,21,0,10,4.889,2.286,NA,NA,FALSE,FALSE
"112",19730422,1973-04-22 12:00:00,1973-04-22 12:00:00,1973,4,22,-1,14,7.111,0,NA,NA,FALSE,FALSE
"113",19730423,1973-04-23 12:00:00,1973-04-23 12:00:00,1973,4,23,3,14,8.778,1.524,NA,NA,FALSE,FALSE
"114",19730424,1973-04-24 12:00:00,1973-04-24 12:00:00,1973,4,24,5,18,11.278,0,NA,NA,FALSE,FALSE
"115",19730425,1973-04-25 12:00:00,1973-04-25 12:00:00,1973,4,25,4,16,9.889,0,NA,NA,FALSE,FALSE
"116",19730426,1973-04-26 12:00:00,1973-04-26 12:00:00,1973,4,26,-1,16,8.667,0,NA,NA,FALSE,FALSE
"117",19730427,1973-04-27 12:00:00,1973-04-27 12:00:00,1973,4,27,3,19,11.111,0,NA,NA,FALSE,FALSE
"118",19730428,1973-04-28 12:00:00,1973-04-28 12:00:00,1973,4,28,6,14,10.833,2.032,NA,NA,FALSE,FALSE
"119",19730429,1973-04-29 12:00:00,1973-04-29 12:00:00,1973,4,29,10,14,11.778,7.874,NA,NA,FALSE,FALSE
"120",19730430,1973-04-30 12:00:00,1973-04-30 12:00:00,1973,4,30,4,19,13.667,3.048,NA,NA,FALSE,FALSE
"121",19730501,1973-05-01 12:00:00,1973-05-01 12:00:00,1973,5,1,7,18,12.944,2.032,NA,NA,FALSE,FALSE
"122",19730502,1973-05-02 12:00:00,1973-05-02 12:00:00,1973,5,2,7,15,10.278,2.032,NA,NA,FALSE,FALSE
"123",19730503,1973-05-03 12:00:00,1973-05-03 12:00:00,1973,5,3,10,24,16.389,0,NA,NA,FALSE,FALSE
"124",19730504,1973-05-04 12:00:00,1973-05-04 12:00:00,1973,5,4,12,22,16.944,4.064,NA,NA,FALSE,FALSE
"125",19730505,1973-05-05 12:00:00,1973-05-05 12:00:00,1973,5,5,11,25,17.222,26.924,NA,NA,FALSE,FALSE
"126",19730506,1973-05-06 12:00:00,1973-05-06 12:00:00,1973,5,6,10,19,14.167,0,NA,NA,FALSE,FALSE
"127",19730507,1973-05-07 12:00:00,1973-05-07 12:00:00,1973,5,7,8,14,11.611,4.064,NA,NA,FALSE,FALSE
"128",19730508,1973-05-08 12:00:00,1973-05-08 12:00:00,1973,5,8,5,14,8.778,2.032,NA,NA,FALSE,FALSE
"129",19730509,1973-05-09 12:00:00,1973-05-09 12:00:00,1973,5,9,7,13,10.056,5.08,NA,NA,FALSE,FALSE
"130",19730510,1973-05-10 12:00:00,1973-05-10 12:00:00,1973,5,10,8,14,10.778,1.016,NA,NA,FALSE,FALSE
"131",19730511,1973-05-11 12:00:00,1973-05-11 12:00:00,1973,5,11,2,14,8.611,0,NA,NA,FALSE,FALSE
"132",19730512,1973-05-12 12:00:00,1973-05-12 12:00:00,1973,5,12,0,17,9,0,NA,NA,FALSE,FALSE
"133",19730513,1973-05-13 12:00:00,1973-05-13 12:00:00,1973,5,13,3,19,12.111,0,NA,NA,FALSE,FALSE
"134",19730514,1973-05-14 12:00:00,1973-05-14 12:00:00,1973,5,14,6,14,10.722,0,NA,NA,FALSE,FALSE
"135",19730515,1973-05-15 12:00:00,1973-05-15 12:00:00,1973,5,15,3,14,9.111,0.254,NA,NA,FALSE,FALSE
"136",19730516,1973-05-16 12:00:00,1973-05-16 12:00:00,1973,5,16,0,18,10.111,0,NA,NA,FALSE,FALSE
"137",19730517,1973-05-17 12:00:00,1973-05-17 12:00:00,1973,5,17,5,20,12.944,0,NA,NA,FALSE,FALSE
"138",19730518,1973-05-18 12:00:00,1973-05-18 12:00:00,1973,5,18,8,20,14.056,0,NA,NA,FALSE,FALSE
"139",19730519,1973-05-19 12:00:00,1973-05-19 12:00:00,1973,5,19,8,24,16.778,0,NA,NA,FALSE,FALSE
"140",19730520,1973-05-20 12:00:00,1973-05-20 12:00:00,1973,5,20,12,21,16.778,6.096,NA,NA,FALSE,FALSE
"141",19730521,1973-05-21 12:00:00,1973-05-21 12:00:00,1973,5,21,10,23,16.5,2.032,NA,NA,FALSE,FALSE
"142",19730522,1973-05-22 12:00:00,1973-05-22 12:00:00,1973,5,22,10,23,17,0.254,NA,NA,FALSE,FALSE
"143",19730523,1973-05-23 12:00:00,1973-05-23 12:00:00,1973,5,23,13,21,16.944,3.048,NA,NA,FALSE,FALSE
"144",19730524,1973-05-24 12:00:00,1973-05-24 12:00:00,1973,5,24,11,15,13,2.286,NA,NA,FALSE,FALSE
"145",19730525,1973-05-25 12:00:00,1973-05-25 12:00:00,1973,5,25,10,19,14.444,0,NA,NA,FALSE,FALSE
"146",19730526,1973-05-26 12:00:00,1973-05-26 12:00:00,1973,5,26,6,24,15.278,0,NA,NA,FALSE,FALSE
"147",19730527,1973-05-27 12:00:00,1973-05-27 12:00:00,1973,5,27,7,24,16.944,0,NA,NA,FALSE,FALSE
"148",19730528,1973-05-28 12:00:00,1973-05-28 12:00:00,1973,5,28,8,25,17.944,0,NA,NA,FALSE,FALSE
"149",19730529,1973-05-29 12:00:00,1973-05-29 12:00:00,1973,5,29,10,18,13.833,2.032,NA,NA,FALSE,FALSE
"150",19730530,1973-05-30 12:00:00,1973-05-30 12:00:00,1973,5,30,9,18,13.722,7.112,NA,NA,FALSE,FALSE
"151",19730531,1973-05-31 12:00:00,1973-05-31 12:00:00,1973,5,31,14,23,18.444,6.096,NA,NA,FALSE,FALSE
"152",19730601,1973-06-01 12:00:00,1973-06-01 12:00:00,1973,6,1,16,20,17.5,10.922,NA,NA,FALSE,FALSE
"153",19730602,1973-06-02 12:00:00,1973-06-02 12:00:00,1973,6,2,8,17,13.889,2.032,NA,NA,FALSE,FALSE
"154",19730603,1973-06-03 12:00:00,1973-06-03 12:00:00,1973,6,3,7,19,14.278,0,NA,NA,FALSE,FALSE
"155",19730604,1973-06-04 12:00:00,1973-06-04 12:00:00,1973,6,4,6,20,13.889,0,NA,NA,FALSE,FALSE
"156",19730605,1973-06-05 12:00:00,1973-06-05 12:00:00,1973,6,5,8,20,14.222,0,NA,NA,FALSE,FALSE
"157",19730606,1973-06-06 12:00:00,1973-06-06 12:00:00,1973,6,6,4,21,14.5,0,NA,NA,FALSE,FALSE
"158",19730607,1973-06-07 12:00:00,1973-06-07 12:00:00,1973,6,7,7,21,14.389,0.254,NA,NA,FALSE,FALSE
"159",19730608,1973-06-08 12:00:00,1973-06-08 12:00:00,1973,6,8,6,21,14.556,0,NA,NA,FALSE,FALSE
"160",19730609,1973-06-09 12:00:00,1973-06-09 12:00:00,1973,6,9,11,22,17.167,0,NA,NA,FALSE,FALSE
"161",19730610,1973-06-10 12:00:00,1973-06-10 12:00:00,1973,6,10,14,19,16.389,0.254,NA,NA,FALSE,FALSE
"162",19730611,1973-06-11 12:00:00,1973-06-11 12:00:00,1973,6,11,12,18,15.444,0.254,NA,NA,FALSE,FALSE
"163",19730612,1973-06-12 12:00:00,1973-06-12 12:00:00,1973,6,12,10,26,18.722,0,NA,NA,FALSE,FALSE
"164",19730613,1973-06-13 12:00:00,1973-06-13 12:00:00,1973,6,13,13,24,18.278,0,NA,NA,FALSE,FALSE
"165",19730614,1973-06-14 12:00:00,1973-06-14 12:00:00,1973,6,14,5,19,13.611,0,NA,NA,FALSE,FALSE
"166",19730615,1973-06-15 12:00:00,1973-06-15 12:00:00,1973,6,15,5,22,14.722,0,NA,NA,FALSE,FALSE
"167",19730616,1973-06-16 12:00:00,1973-06-16 12:00:00,1973,6,16,8,26,18,0,NA,NA,FALSE,FALSE
"168",19730617,1973-06-17 12:00:00,1973-06-17 12:00:00,1973,6,17,12,28,20.889,0,NA,NA,FALSE,FALSE
"169",19730618,1973-06-18 12:00:00,1973-06-18 12:00:00,1973,6,18,14,24,18.611,0.254,NA,NA,FALSE,FALSE
"170",19730619,1973-06-19 12:00:00,1973-06-19 12:00:00,1973,6,19,10,26,19.611,0,NA,NA,FALSE,FALSE
"171",19730620,1973-06-20 12:00:00,1973-06-20 12:00:00,1973,6,20,14,28,19.722,0,NA,NA,FALSE,FALSE
"172",19730621,1973-06-21 12:00:00,1973-06-21 12:00:00,1973,6,21,14,25,18.111,0,NA,NA,FALSE,FALSE
"173",19730622,1973-06-22 12:00:00,1973-06-22 12:00:00,1973,6,22,10,24,17.944,0,NA,NA,FALSE,FALSE
"174",19730623,1973-06-23 12:00:00,1973-06-23 12:00:00,1973,6,23,13,25,18.111,0.254,NA,NA,FALSE,FALSE
"175",19730624,1973-06-24 12:00:00,1973-06-24 12:00:00,1973,6,24,15,25,17.722,6.096,NA,NA,FALSE,FALSE
"176",19730625,1973-06-25 12:00:00,1973-06-25 12:00:00,1973,6,25,14,28,19.556,0,NA,NA,FALSE,FALSE
"177",19730626,1973-06-26 12:00:00,1973-06-26 12:00:00,1973,6,26,13,30,22.167,0,NA,NA,FALSE,FALSE
"178",19730627,1973-06-27 12:00:00,1973-06-27 12:00:00,1973,6,27,17,33,25.444,0,NA,NA,FALSE,FALSE
"179",19730628,1973-06-28 12:00:00,1973-06-28 12:00:00,1973,6,28,19,28,23.278,7.112,NA,NA,FALSE,FALSE
"180",19730629,1973-06-29 12:00:00,1973-06-29 12:00:00,1973,6,29,16,24,19.889,0.508,NA,NA,FALSE,FALSE
"181",19730630,1973-06-30 12:00:00,1973-06-30 12:00:00,1973,6,30,11,27,19.778,0,NA,NA,FALSE,FALSE
"182",19730701,1973-07-01 12:00:00,1973-07-01 12:00:00,1973,7,1,13,30,22.5,0,NA,NA,FALSE,FALSE
"183",19730702,1973-07-02 12:00:00,1973-07-02 12:00:00,1973,7,2,17,33,25.111,0,NA,NA,FALSE,FALSE
"184",19730703,1973-07-03 12:00:00,1973-07-03 12:00:00,1973,7,3,16,28,22.389,0,NA,NA,FALSE,FALSE
"185",19730704,1973-07-04 12:00:00,1973-07-04 12:00:00,1973,7,4,13,30,22.111,0,NA,NA,FALSE,FALSE
"186",19730705,1973-07-05 12:00:00,1973-07-05 12:00:00,1973,7,5,15,33,24.722,0,NA,NA,FALSE,FALSE
"187",19730706,1973-07-06 12:00:00,1973-07-06 12:00:00,1973,7,6,18,29,22.722,4.064,NA,NA,FALSE,FALSE
"188",19730707,1973-07-07 12:00:00,1973-07-07 12:00:00,1973,7,7,17,25,20.833,0,NA,NA,FALSE,FALSE
"189",19730708,1973-07-08 12:00:00,1973-07-08 12:00:00,1973,7,8,14,22,17.889,0,NA,NA,FALSE,FALSE
"190",19730709,1973-07-09 12:00:00,1973-07-09 12:00:00,1973,7,9,11,24,17.389,0,NA,NA,FALSE,FALSE
"191",19730710,1973-07-10 12:00:00,1973-07-10 12:00:00,1973,7,10,9,26,18.444,0,NA,NA,FALSE,FALSE
"192",19730711,1973-07-11 12:00:00,1973-07-11 12:00:00,1973,7,11,13,22,17.222,2.032,NA,NA,FALSE,FALSE
"193",19730712,1973-07-12 12:00:00,1973-07-12 12:00:00,1973,7,12,16,21,18,7.366,NA,NA,FALSE,FALSE
"194",19730713,1973-07-13 12:00:00,1973-07-13 12:00:00,1973,7,13,12,20,16.222,0,NA,NA,FALSE,FALSE
"195",19730714,1973-07-14 12:00:00,1973-07-14 12:00:00,1973,7,14,11,27,19.944,0,NA,NA,FALSE,FALSE
"196",19730715,1973-07-15 12:00:00,1973-07-15 12:00:00,1973,7,15,14,21,18.167,8.89,NA,NA,FALSE,FALSE
"197",19730716,1973-07-16 12:00:00,1973-07-16 12:00:00,1973,7,16,14,25,19.889,0,NA,NA,FALSE,FALSE
"198",19730717,1973-07-17 12:00:00,1973-07-17 12:00:00,1973,7,17,13,22,16.889,13.462,NA,NA,FALSE,FALSE
"199",19730718,1973-07-18 12:00:00,1973-07-18 12:00:00,1973,7,18,12,21,16.944,0,NA,NA,FALSE,FALSE
"200",19730719,1973-07-19 12:00:00,1973-07-19 12:00:00,1973,7,19,13,22,16.944,2.032,NA,NA,FALSE,FALSE
"201",19730720,1973-07-20 12:00:00,1973-07-20 12:00:00,1973,7,20,14,20,16.833,2.032,NA,NA,FALSE,FALSE
"202",19730721,1973-07-21 12:00:00,1973-07-21 12:00:00,1973,7,21,14,22,17.278,2.032,NA,NA,FALSE,FALSE
"203",19730722,1973-07-22 12:00:00,1973-07-22 12:00:00,1973,7,22,13,22,16.167,1.016,NA,NA,FALSE,FALSE
"204",19730723,1973-07-23 12:00:00,1973-07-23 12:00:00,1973,7,23,10,17,13.611,0.762,NA,NA,FALSE,FALSE
"205",19730724,1973-07-24 12:00:00,1973-07-24 12:00:00,1973,7,24,7,20,14.111,0.254,NA,NA,FALSE,FALSE
"206",19730725,1973-07-25 12:00:00,1973-07-25 12:00:00,1973,7,25,8,21,15.056,0,NA,NA,FALSE,FALSE
