"SSP_Time","GCM","Year","Frost"
"SSP1 2050","AWI-CM-1-1-MR",2042,4
"SSP1 2050","AWI-CM-1-1-MR",2043,1
"SSP1 2050","AWI-CM-1-1-MR",2044,1
"SSP1 2050","AWI-CM-1-1-MR",2045,13
"SSP1 2050","AWI-CM-1-1-MR",2046,7
"SSP1 2050","AWI-CM-1-1-MR",2047,0
"SSP1 2050","AWI-CM-1-1-MR",2048,0
"SSP1 2050","AWI-CM-1-1-MR",2049,0
"SSP1 2050","AWI-CM-1-1-MR",2050,0
"SSP1 2050","AWI-CM-1-1-MR",2051,0
"SSP1 2050","AWI-CM-1-1-MR",2052,0
"SSP1 2050","AWI-CM-1-1-MR",2053,7
"SSP1 2050","AWI-CM-1-1-MR",2054,3
"SSP1 2050","AWI-CM-1-1-MR",2055,0
"SSP1 2050","AWI-CM-1-1-MR",2056,2
"SSP1 2050","AWI-CM-1-1-MR",2057,12
"SSP1 2050","AWI-CM-1-1-MR",2058,0
"SSP1 2050","AWI-CM-1-1-MR",2059,7
"SSP1 2050","AWI-CM-1-1-MR",2060,1
"SSP1 2050","AWI-CM-1-1-MR",2061,0
"SSP1 2050","AWI-CM-1-1-MR",2062,6
"SSP1 2050","AWI-CM-1-1-MR",2063,11
"SSP1 2050","AWI-CM-1-1-MR",2064,0
"SSP1 2050","AWI-CM-1-1-MR",2065,0
"SSP1 2050","AWI-CM-1-1-MR",2066,12
"SSP1 2050","AWI-CM-1-1-MR",2067,0
"SSP1 2050","AWI-CM-1-1-MR",2068,12
"SSP1 2050","AWI-CM-1-1-MR",2069,0
"SSP1 2050","AWI-CM-1-1-MR",2070,0
"SSP1 2050","AWI-CM-1-1-MR",2071,3
"SSP1 2050","AWI-CM-1-1-MR",2072,0
"SSP1 2050","AWI-CM-1-1-MR",2073,0
"SSP1 2050","AWI-CM-1-1-MR",2074,37
"SSP1 2050","AWI-CM-1-1-MR",2075,0
"SSP1 2050","AWI-CM-1-1-MR",2076,0
"SSP1 2050","AWI-CM-1-1-MR",2077,0
"SSP1 2050","AWI-CM-1-1-MR",2078,0
"SSP1 2050","AWI-CM-1-1-MR",2079,0
"SSP1 2050","AWI-CM-1-1-MR",2080,4
"SSP1 2050","AWI-CM-1-1-MR",2081,0
"SSP1 2050","AWI-CM-1-1-MR",2082,0
"SSP1 2050","AWI-CM-1-1-MR",2083,0
"SSP1 2050","AWI-CM-1-1-MR",2084,4
"SSP1 2050","AWI-CM-1-1-MR",2085,1
"SSP1 2050","AWI-CM-1-1-MR",2086,8
"SSP1 2050","AWI-CM-1-1-MR",2087,0
"SSP1 2050","AWI-CM-1-1-MR",2088,0
"SSP1 2050","AWI-CM-1-1-MR",2089,0
"SSP1 2050","AWI-CM-1-1-MR",2090,9
"SSP1 2050","AWI-CM-1-1-MR",2091,0
"SSP1 2050","AWI-CM-1-1-MR",2092,1
"SSP1 2050","AWI-CM-1-1-MR",2093,0
"SSP1 2050","AWI-CM-1-1-MR",2094,6
"SSP1 2050","AWI-CM-1-1-MR",2095,0
"SSP1 2050","AWI-CM-1-1-MR",2096,0
"SSP1 2050","AWI-CM-1-1-MR",2097,3
"SSP1 2050","AWI-CM-1-1-MR",2098,0
"SSP1 2050","AWI-CM-1-1-MR",2099,3
"SSP1 2050","AWI-CM-1-1-MR",2100,0
"SSP1 2050","CMCC-ESM2",2002,2
"SSP1 2050","CMCC-ESM2",2003,0
"SSP1 2050","CMCC-ESM2",2004,3
"SSP1 2050","CMCC-ESM2",2005,0
"SSP1 2050","CMCC-ESM2",2006,18
"SSP1 2050","CMCC-ESM2",2007,5
"SSP1 2050","CMCC-ESM2",2008,15
"SSP1 2050","CMCC-ESM2",2009,1
"SSP1 2050","CMCC-ESM2",2010,25
"SSP1 2050","CMCC-ESM2",2011,5
"SSP1 2050","CMCC-ESM2",2012,0
"SSP1 2050","CMCC-ESM2",2013,0
"SSP1 2050","CMCC-ESM2",2014,0
"SSP1 2050","CMCC-ESM2",2015,0
"SSP1 2050","CMCC-ESM2",2016,3
"SSP1 2050","CMCC-ESM2",2017,23
"SSP1 2050","CMCC-ESM2",2018,0
"SSP1 2050","CMCC-ESM2",2019,7
"SSP1 2050","CMCC-ESM2",2020,0
"SSP1 2050","CMCC-ESM2",2021,22
"SSP1 2050","CMCC-ESM2",2022,12
"SSP1 2050","CMCC-ESM2",2023,0
"SSP1 2050","CMCC-ESM2",2024,7
"SSP1 2050","CMCC-ESM2",2025,2
"SSP1 2050","CMCC-ESM2",2026,0
"SSP1 2050","CMCC-ESM2",2027,0
"SSP1 2050","CMCC-ESM2",2028,0
"SSP1 2050","CMCC-ESM2",2029,6
"SSP1 2050","CMCC-ESM2",2030,6
"SSP1 2050","CMCC-ESM2",2031,28
"SSP1 2050","CMCC-ESM2",2032,0
"SSP1 2050","CMCC-ESM2",2033,14
"SSP1 2050","CMCC-ESM2",2034,7
"SSP1 2050","CMCC-ESM2",2035,0
"SSP1 2050","CMCC-ESM2",2036,7
"SSP1 2050","CMCC-ESM2",2037,0
"SSP1 2050","CMCC-ESM2",2038,0
"SSP1 2050","CMCC-ESM2",2039,2
"SSP1 2050","CMCC-ESM2",2040,6
"SSP1 2050","CMCC-ESM2",2041,0
"SSP1 2050","CMCC-ESM2",2042,7
"SSP1 2050","CMCC-ESM2",2043,2
"SSP1 2050","CMCC-ESM2",2044,8
"SSP1 2050","CMCC-ESM2",2045,18
"SSP1 2050","CMCC-ESM2",2046,1
"SSP1 2050","CMCC-ESM2",2047,0
"SSP1 2050","CMCC-ESM2",2048,1
"SSP1 2050","CMCC-ESM2",2049,0
"SSP1 2050","CMCC-ESM2",2050,0
"SSP1 2050","CMCC-ESM2",2051,9
"SSP1 2050","CMCC-ESM2",2052,0
"SSP1 2050","CMCC-ESM2",2053,11
"SSP1 2050","CMCC-ESM2",2054,4
"SSP1 2050","CMCC-ESM2",2055,0
"SSP1 2050","CMCC-ESM2",2056,0
"SSP1 2050","CMCC-ESM2",2057,10
"SSP1 2050","CMCC-ESM2",2058,19
"SSP1 2050","CMCC-ESM2",2059,8
"SSP1 2050","CMCC-ESM2",2060,5
"SSP1 2050","CMCC-ESM2",2061,0
"SSP1 2050","CMCC-ESM2",2062,0
"SSP1 2050","CMCC-ESM2",2063,13
"SSP1 2050","CMCC-ESM2",2064,0
"SSP1 2050","CMCC-ESM2",2065,0
"SSP1 2050","CMCC-ESM2",2066,16
"SSP1 2050","CMCC-ESM2",2067,0
"SSP1 2050","CMCC-ESM2",2068,33
"SSP1 2050","CMCC-ESM2",2069,0
"SSP1 2050","CMCC-ESM2",2070,0
"SSP1 2050","CMCC-ESM2",2071,4
"SSP1 2050","CMCC-ESM2",2072,0
"SSP1 2050","CMCC-ESM2",2073,0
"SSP1 2050","CMCC-ESM2",2074,9
"SSP1 2050","CMCC-ESM2",2075,17
"SSP1 2050","CMCC-ESM2",2076,0
"SSP1 2050","CMCC-ESM2",2077,0
"SSP1 2050","CMCC-ESM2",2078,0
"SSP1 2050","CMCC-ESM2",2079,0
"SSP1 2050","CMCC-ESM2",2080,4
"SSP1 2050","CMCC-ESM2",2081,0
"SSP1 2050","CMCC-ESM2",2082,4
"SSP1 2050","CMCC-ESM2",2083,0
"SSP1 2050","CMCC-ESM2",2084,0
"SSP1 2050","CMCC-ESM2",2085,4
"SSP1 2050","CMCC-ESM2",2086,7
"SSP1 2050","CMCC-ESM2",2087,4
"SSP1 2050","CMCC-ESM2",2088,0
"SSP1 2050","CMCC-ESM2",2089,0
"SSP1 2050","CMCC-ESM2",2090,12
"SSP1 2050","CMCC-ESM2",2091,0
"SSP1 2050","CMCC-ESM2",2092,2
"SSP1 2050","CMCC-ESM2",2093,0
"SSP1 2050","CMCC-ESM2",2094,8
"SSP1 2050","CMCC-ESM2",2095,0
"SSP1 2050","CMCC-ESM2",2096,0
"SSP1 2050","CMCC-ESM2",2097,11
"SSP1 2050","CMCC-ESM2",2098,2
"SSP1 2050","CMCC-ESM2",2099,4
"SSP1 2050","CMCC-ESM2",2100,0
"SSP1 2050","CNRM-CM6-1-HR",2002,3
"SSP1 2050","CNRM-CM6-1-HR",2003,0
"SSP1 2050","CNRM-CM6-1-HR",2004,3
"SSP1 2050","CNRM-CM6-1-HR",2005,0
"SSP1 2050","CNRM-CM6-1-HR",2006,18
"SSP1 2050","CNRM-CM6-1-HR",2007,13
"SSP1 2050","CNRM-CM6-1-HR",2008,22
"SSP1 2050","CNRM-CM6-1-HR",2009,2
"SSP1 2050","CNRM-CM6-1-HR",2010,9
"SSP1 2050","CNRM-CM6-1-HR",2011,12
"SSP1 2050","CNRM-CM6-1-HR",2012,0
"SSP1 2050","CNRM-CM6-1-HR",2013,0
"SSP1 2050","CNRM-CM6-1-HR",2014,0
"SSP1 2050","CNRM-CM6-1-HR",2015,0
"SSP1 2050","CNRM-CM6-1-HR",2016,3
"SSP1 2050","CNRM-CM6-1-HR",2017,15
"SSP1 2050","CNRM-CM6-1-HR",2018,0
"SSP1 2050","CNRM-CM6-1-HR",2019,22
"SSP1 2050","CNRM-CM6-1-HR",2020,0
"SSP1 2050","CNRM-CM6-1-HR",2021,24
"SSP1 2050","CNRM-CM6-1-HR",2022,52
"SSP1 2050","CNRM-CM6-1-HR",2023,6
"SSP1 2050","CNRM-CM6-1-HR",2024,7
"SSP1 2050","CNRM-CM6-1-HR",2025,2
"SSP1 2050","CNRM-CM6-1-HR",2026,0
"SSP1 2050","CNRM-CM6-1-HR",2027,0
"SSP1 2050","CNRM-CM6-1-HR",2028,1
"SSP1 2050","CNRM-CM6-1-HR",2029,4
"SSP1 2050","CNRM-CM6-1-HR",2030,7
"SSP1 2050","CNRM-CM6-1-HR",2031,28
"SSP1 2050","CNRM-CM6-1-HR",2032,0
"SSP1 2050","CNRM-CM6-1-HR",2033,1
"SSP1 2050","CNRM-CM6-1-HR",2034,2
"SSP1 2050","CNRM-CM6-1-HR",2035,0
"SSP1 2050","CNRM-CM6-1-HR",2036,7
"SSP1 2050","CNRM-CM6-1-HR",2037,0
"SSP1 2050","CNRM-CM6-1-HR",2038,0
"SSP1 2050","CNRM-CM6-1-HR",2039,11
"SSP1 2050","CNRM-CM6-1-HR",2040,6
"SSP1 2050","CNRM-CM6-1-HR",2041,0
"SSP1 2050","CNRM-CM6-1-HR",2042,0
"SSP1 2050","CNRM-CM6-1-HR",2043,2
"SSP1 2050","CNRM-CM6-1-HR",2044,15
"SSP1 2050","CNRM-CM6-1-HR",2045,2
"SSP1 2050","CNRM-CM6-1-HR",2046,9
"SSP1 2050","CNRM-CM6-1-HR",2047,0
"SSP1 2050","CNRM-CM6-1-HR",2048,15
"SSP1 2050","CNRM-CM6-1-HR",2049,0
"SSP1 2050","CNRM-CM6-1-HR",2050,0
"SSP1 2050","CNRM-CM6-1-HR",2051,33
"SSP1 2050","CNRM-CM6-1-HR",2052,1
"SSP1 2050","CNRM-CM6-1-HR",2053,11
"SSP1 2050","CNRM-CM6-1-HR",2054,4
"SSP1 2050","CNRM-CM6-1-HR",2055,0
"SSP1 2050","CNRM-CM6-1-HR",2056,0
"SSP1 2050","CNRM-CM6-1-HR",2057,10
"SSP1 2050","CNRM-CM6-1-HR",2058,6
"SSP1 2050","CNRM-CM6-1-HR",2059,9
"SSP1 2050","CNRM-CM6-1-HR",2060,21
"SSP1 2050","CNRM-CM6-1-HR",2061,0
"SSP1 2050","CNRM-CM6-1-HR",2062,22
"SSP1 2050","CNRM-CM6-1-HR",2063,6
"SSP1 2050","CNRM-CM6-1-HR",2064,0
"SSP1 2050","CNRM-CM6-1-HR",2065,0
"SSP1 2050","CNRM-CM6-1-HR",2066,14
"SSP1 2050","CNRM-CM6-1-HR",2067,0
"SSP1 2050","CNRM-CM6-1-HR",2068,0
"SSP1 2050","CNRM-CM6-1-HR",2069,0
"SSP1 2050","CNRM-CM6-1-HR",2070,0
"SSP1 2050","CNRM-CM6-1-HR",2071,23
"SSP1 2050","CNRM-CM6-1-HR",2072,0
"SSP1 2050","CNRM-CM6-1-HR",2073,0
"SSP1 2050","CNRM-CM6-1-HR",2074,8
"SSP1 2050","CNRM-CM6-1-HR",2075,0
"SSP1 2050","CNRM-CM6-1-HR",2076,0
"SSP1 2050","CNRM-CM6-1-HR",2077,3
"SSP1 2050","CNRM-CM6-1-HR",2078,0
"SSP1 2050","CNRM-CM6-1-HR",2079,5
"SSP1 2050","CNRM-CM6-1-HR",2080,0
"SSP1 2050","CNRM-CM6-1-HR",2081,0
"SSP1 2050","CNRM-CM6-1-HR",2082,0
"SSP1 2050","CNRM-CM6-1-HR",2083,0
"SSP1 2050","CNRM-CM6-1-HR",2084,23
"SSP1 2050","CNRM-CM6-1-HR",2085,0
"SSP1 2050","CNRM-CM6-1-HR",2086,0
"SSP1 2050","CNRM-CM6-1-HR",2087,4
"SSP1 2050","CNRM-CM6-1-HR",2088,11
"SSP1 2050","CNRM-CM6-1-HR",2089,0
"SSP1 2050","CNRM-CM6-1-HR",2090,2
"SSP1 2050","CNRM-CM6-1-HR",2091,0
"SSP1 2050","CNRM-CM6-1-HR",2092,7
"SSP1 2050","CNRM-CM6-1-HR",2093,0
"SSP1 2050","CNRM-CM6-1-HR",2094,14
"SSP1 2050","CNRM-CM6-1-HR",2095,0
"SSP1 2050","CNRM-CM6-1-HR",2096,0
"SSP1 2050","CNRM-CM6-1-HR",2097,11
"SSP1 2050","CNRM-CM6-1-HR",2098,2
"SSP1 2050","CNRM-CM6-1-HR",2099,0
"SSP1 2050","CNRM-CM6-1-HR",2100,0
"SSP1 2050","CNRM-ESM2-1",2002,0
"SSP1 2050","CNRM-ESM2-1",2003,6
"SSP1 2050","CNRM-ESM2-1",2004,0
"SSP1 2050","CNRM-ESM2-1",2005,0
"SSP1 2050","CNRM-ESM2-1",2006,6
"SSP1 2050","CNRM-ESM2-1",2007,8
"SSP1 2050","CNRM-ESM2-1",2008,1
"SSP1 2050","CNRM-ESM2-1",2009,3
"SSP1 2050","CNRM-ESM2-1",2010,6
"SSP1 2050","CNRM-ESM2-1",2011,5
"SSP1 2050","CNRM-ESM2-1",2012,10
"SSP1 2050","CNRM-ESM2-1",2013,0
"SSP1 2050","CNRM-ESM2-1",2014,0
"SSP1 2050","CNRM-ESM2-1",2015,0
"SSP1 2050","CNRM-ESM2-1",2016,1
"SSP1 2050","CNRM-ESM2-1",2017,7
"SSP1 2050","CNRM-ESM2-1",2018,0
"SSP1 2050","CNRM-ESM2-1",2019,0
"SSP1 2050","CNRM-ESM2-1",2020,0
"SSP1 2050","CNRM-ESM2-1",2021,4
"SSP1 2050","CNRM-ESM2-1",2022,5
"SSP1 2050","CNRM-ESM2-1",2023,0
"SSP1 2050","CNRM-ESM2-1",2024,1
"SSP1 2050","CNRM-ESM2-1",2025,3
"SSP1 2050","CNRM-ESM2-1",2026,0
"SSP1 2050","CNRM-ESM2-1",2027,0
"SSP1 2050","CNRM-ESM2-1",2028,0
"SSP1 2050","CNRM-ESM2-1",2029,7
"SSP1 2050","CNRM-ESM2-1",2030,3
"SSP1 2050","CNRM-ESM2-1",2031,6
"SSP1 2050","CNRM-ESM2-1",2032,0
"SSP1 2050","CNRM-ESM2-1",2033,0
"SSP1 2050","CNRM-ESM2-1",2034,10
"SSP1 2050","CNRM-ESM2-1",2035,0
"SSP1 2050","CNRM-ESM2-1",2036,0
"SSP1 2050","CNRM-ESM2-1",2037,0
"SSP1 2050","CNRM-ESM2-1",2038,10
"SSP1 2050","CNRM-ESM2-1",2039,0
"SSP1 2050","CNRM-ESM2-1",2040,7
"SSP1 2050","CNRM-ESM2-1",2041,0
"SSP1 2050","CNRM-ESM2-1",2042,19
"SSP1 2050","CNRM-ESM2-1",2043,20
"SSP1 2050","CNRM-ESM2-1",2044,4
"SSP1 2050","CNRM-ESM2-1",2045,11
"SSP1 2050","CNRM-ESM2-1",2046,16
"SSP1 2050","CNRM-ESM2-1",2047,0
"SSP1 2050","CNRM-ESM2-1",2048,0
"SSP1 2050","CNRM-ESM2-1",2049,0
"SSP1 2050","CNRM-ESM2-1",2050,1
"SSP1 2050","CNRM-ESM2-1",2051,1
"SSP1 2050","CNRM-ESM2-1",2052,0
"SSP1 2050","CNRM-ESM2-1",2053,19
"SSP1 2050","CNRM-ESM2-1",2054,4
"SSP1 2050","CNRM-ESM2-1",2055,0
"SSP1 2050","CNRM-ESM2-1",2056,17
"SSP1 2050","CNRM-ESM2-1",2057,10
"SSP1 2050","CNRM-ESM2-1",2058,0
"SSP1 2050","CNRM-ESM2-1",2059,5
"SSP1 2050","CNRM-ESM2-1",2060,3
"SSP1 2050","CNRM-ESM2-1",2061,4
"SSP1 2050","CNRM-ESM2-1",2062,16
"SSP1 2050","CNRM-ESM2-1",2063,2
"SSP1 2050","CNRM-ESM2-1",2064,0
"SSP1 2050","CNRM-ESM2-1",2065,0
"SSP1 2050","CNRM-ESM2-1",2066,0
"SSP1 2050","CNRM-ESM2-1",2067,0
"SSP1 2050","CNRM-ESM2-1",2068,10
"SSP1 2050","CNRM-ESM2-1",2069,0
"SSP1 2050","CNRM-ESM2-1",2070,0
"SSP1 2050","CNRM-ESM2-1",2071,4
"SSP1 2050","CNRM-ESM2-1",2072,0
"SSP1 2050","CNRM-ESM2-1",2073,0
"SSP1 2050","CNRM-ESM2-1",2074,0
"SSP1 2050","CNRM-ESM2-1",2075,0
"SSP1 2050","CNRM-ESM2-1",2076,3
"SSP1 2050","CNRM-ESM2-1",2077,0
"SSP1 2050","CNRM-ESM2-1",2078,0
"SSP1 2050","CNRM-ESM2-1",2079,0
"SSP1 2050","CNRM-ESM2-1",2080,7
"SSP1 2050","CNRM-ESM2-1",2081,0
"SSP1 2050","CNRM-ESM2-1",2082,10
"SSP1 2050","CNRM-ESM2-1",2083,0
"SSP1 2050","CNRM-ESM2-1",2084,5
"SSP1 2050","CNRM-ESM2-1",2085,6
"SSP1 2050","CNRM-ESM2-1",2086,17
"SSP1 2050","CNRM-ESM2-1",2087,2
"SSP1 2050","CNRM-ESM2-1",2088,0
"SSP1 2050","CNRM-ESM2-1",2089,0
"SSP1 2050","CNRM-ESM2-1",2090,4
"SSP1 2050","CNRM-ESM2-1",2091,3
"SSP1 2050","CNRM-ESM2-1",2092,34
"SSP1 2050","CNRM-ESM2-1",2093,0
"SSP1 2050","CNRM-ESM2-1",2094,4
"SSP1 2050","CNRM-ESM2-1",2095,0
"SSP1 2050","CNRM-ESM2-1",2096,0
"SSP1 2050","CNRM-ESM2-1",2097,0
"SSP1 2050","CNRM-ESM2-1",2098,0
"SSP1 2050","CNRM-ESM2-1",2099,4
"SSP1 2050","CNRM-ESM2-1",2100,0
"SSP1 2050","EC-Earth3-Veg-LR",2002,0
"SSP1 2050","EC-Earth3-Veg-LR",2003,0
"SSP1 2050","EC-Earth3-Veg-LR",2004,3
"SSP1 2050","EC-Earth3-Veg-LR",2005,0
"SSP1 2050","EC-Earth3-Veg-LR",2006,5
"SSP1 2050","EC-Earth3-Veg-LR",2007,13
"SSP1 2050","EC-Earth3-Veg-LR",2008,15
"SSP1 2050","EC-Earth3-Veg-LR",2009,4
"SSP1 2050","EC-Earth3-Veg-LR",2010,19
"SSP1 2050","EC-Earth3-Veg-LR",2011,5
"SSP1 2050","EC-Earth3-Veg-LR",2012,6
"SSP1 2050","EC-Earth3-Veg-LR",2013,0
"SSP1 2050","EC-Earth3-Veg-LR",2014,0
"SSP1 2050","EC-Earth3-Veg-LR",2015,0
"SSP1 2050","EC-Earth3-Veg-LR",2016,0
"SSP1 2050","EC-Earth3-Veg-LR",2017,16
"SSP1 2050","EC-Earth3-Veg-LR",2018,0
"SSP1 2050","EC-Earth3-Veg-LR",2019,0
"SSP1 2050","EC-Earth3-Veg-LR",2020,0
"SSP1 2050","EC-Earth3-Veg-LR",2021,8
"SSP1 2050","EC-Earth3-Veg-LR",2022,12
"SSP1 2050","EC-Earth3-Veg-LR",2023,0
"SSP1 2050","EC-Earth3-Veg-LR",2024,1
"SSP1 2050","EC-Earth3-Veg-LR",2025,2
"SSP1 2050","EC-Earth3-Veg-LR",2026,0
"SSP1 2050","EC-Earth3-Veg-LR",2027,0
"SSP1 2050","EC-Earth3-Veg-LR",2028,0
"SSP1 2050","EC-Earth3-Veg-LR",2029,5
"SSP1 2050","EC-Earth3-Veg-LR",2030,7
"SSP1 2050","EC-Earth3-Veg-LR",2031,19
"SSP1 2050","EC-Earth3-Veg-LR",2032,0
"SSP1 2050","EC-Earth3-Veg-LR",2033,4
"SSP1 2050","EC-Earth3-Veg-LR",2034,7
"SSP1 2050","EC-Earth3-Veg-LR",2035,0
"SSP1 2050","EC-Earth3-Veg-LR",2036,4
"SSP1 2050","EC-Earth3-Veg-LR",2037,0
"SSP1 2050","EC-Earth3-Veg-LR",2038,0
