"Scen_year","Year","Pheno"
"1990",2018,117.791666666667
"1990",2019,128.125
"1990",2020,108.041666666667
"1990",2021,108.291666666667
"1990",2022,100.291666666667
"1990",2023,111.125
"1990",2024,124.291666666667
"1990",2025,122.375
"1990",2026,101.875
"1990",2027,110.333333333333
"1990",2028,114.208333333333
"1990",2029,103.083333333333
"1990",2030,121.833333333333
"1990",2031,120.25
"1990",2032,126.25
"1990",2033,127.125
"1990",2034,113.5
"1990",2035,120.083333333333
"1990",2036,114.208333333333
"1990",2037,123.875
"1990",2038,114.375
"1990",2039,131.916666666667
"1990",2040,126.375
"1990",2041,119.333333333333
"1990",2042,119.166666666667
"1990",2043,110.833333333333
"1990",2044,106.25
"1990",2045,122.333333333333
"1990",2046,128.291666666667
"1990",2047,105.916666666667
"1990",2048,115.875
"1990",2049,122.375
"1990",2050,115
"1990",2051,133.208333333333
"1990",2052,128.083333333333
"1990",2053,119
"1990",2054,118.166666666667
"1990",2055,120.125
"1990",2056,106.208333333333
"1990",2057,120.041666666667
"1990",2058,106.916666666667
"1990",2059,116.416666666667
"1990",2060,113.958333333333
"1990",2061,121.083333333333
"1990",2062,116.083333333333
"1990",2063,115.125
"1990",2064,126.875
"1990",2065,99.2083333333333
"1990",2066,107.25
"1990",2067,117.958333333333
"1990",2068,107.958333333333
"1990",2069,105.291666666667
"1990",2070,117.041666666667
"1990",2071,123
"1990",2072,129.25
"1990",2073,100
"1990",2074,114.333333333333
"1990",2075,107.916666666667
"1990",2076,133.208333333333
"1990",2077,112.083333333333
"1990",2078,125.333333333333
"1990",2079,120.083333333333
"1990",2080,111.166666666667
"1990",2081,91.25
"1990",2082,113.375
"1990",2083,144.291666666667
"1990",2084,101.958333333333
"1990",2085,134.125
"1990",2086,126.5
"1990",2087,111.291666666667
"1990",2088,97.0833333333333
"1990",2089,112.083333333333
"1990",2090,118.916666666667
"1990",2091,126.25
"1990",2092,119.333333333333
"1990",2093,120.125
"1990",2094,115.291666666667
"1990",2095,132.375
"1990",2096,92.125
"1990",2097,130.291666666667
"1990",2098,126.166666666667
"1990",2099,113.125
"1990",2100,113.25
"2000",2001,NA
"2000",2002,128.291666666667
"2000",2003,112.583333333333
"2000",2004,115.916666666667
"2000",2005,104.041666666667
"2000",2006,99.125
"2000",2007,104.25
"2000",2008,110.083333333333
"2000",2009,105.875
"2000",2010,105.25
"2000",2011,108.083333333333
"2000",2012,113.25
"2000",2013,107.041666666667
"2000",2014,116.083333333333
"2000",2015,127.916666666667
"2000",2016,118.041666666667
"2000",2017,107.333333333333
"2000",2018,113.083333333333
"2000",2019,124.333333333333
"2000",2020,104.916666666667
"2000",2021,104.25
"2000",2022,98.7083333333333
"2000",2023,106.875
"2000",2024,107.291666666667
"2000",2025,115.25
"2000",2026,99.2083333333333
"2000",2027,106.958333333333
"2000",2028,99.25
"2000",2029,100.333333333333
"2000",2030,117
"2000",2031,106.25
"2000",2032,111.416666666667
"2000",2033,114.166666666667
"2000",2034,110.458333333333
"2000",2035,117.208333333333
"2000",2036,109
"2000",2037,119.166666666667
"2000",2038,112.5
"2000",2039,129.416666666667
"2000",2040,113.083333333333
"2000",2041,113.125
"2000",2042,114.416666666667
"2000",2043,108.416666666667
"2000",2044,103.208333333333
"2000",2045,114.291666666667
"2000",2046,124.041666666667
"2000",2047,103.166666666667
"2000",2048,112.666666666667
"2000",2049,119.083333333333
"2000",2050,108.041666666667
"2000",2051,128.958333333333
"2000",2052,124.041666666667
"2000",2053,106.916666666667
"2000",2054,110.208333333333
"2000",2055,107.125
"2000",2056,102.416666666667
"2000",2057,113.291666666667
"2000",2058,103.375
"2000",2059,112.375
"2000",2060,110.041666666667
"2000",2061,117
"2000",2062,112.875
"2000",2063,107.333333333333
"2000",2064,123.166666666667
"2000",2065,96.1666666666667
"2000",2066,105.083333333333
"2000",2067,105.166666666667
"2000",2068,105.708333333333
"2000",2069,103
"2000",2070,113.416666666667
"2000",2071,117.208333333333
"2000",2072,111.375
"2000",2073,96.4166666666667
"2000",2074,107.041666666667
"2000",2075,104.916666666667
"2000",2076,115.291666666667
"2000",2077,103.291666666667
"2000",2078,120.541666666667
"2000",2079,109.25
"2000",2080,106.083333333333
"2000",2081,84.0416666666667
"2000",2082,110.291666666667
"2000",2083,137
"2000",2084,99.5416666666667
"2000",2085,120.041666666667
"2000",2086,121.25
"2000",2087,109.625
"2000",2088,95.7083333333333
"2000",2089,108.041666666667
"2000",2090,116.291666666667
"2000",2091,119.333333333333
"2000",2092,112.833333333333
"2000",2093,117.041666666667
"2000",2094,110.916666666667
"2000",2095,128.666666666667
"2000",2096,91.0416666666667
"2000",2097,126.791666666667
"2000",2098,118.166666666667
"2000",2099,109.875
"2000",2100,104.041666666667
"2010",2001,NA
"2010",2002,129.375
"2010",2003,112.75
"2010",2004,116.041666666667
"2010",2005,104.625
"2010",2006,101.166666666667
"2010",2007,104.458333333333
"2010",2008,109.166666666667
"2010",2009,106.083333333333
"2010",2010,106.125
"2010",2011,107.958333333333
"2010",2012,113.333333333333
"2010",2013,106.416666666667
"2010",2014,116.166666666667
"2010",2015,127.5
"2010",2016,117.333333333333
"2010",2017,108.125
"2010",2018,113.083333333333
"2010",2019,124
"2010",2020,105.333333333333
"2010",2021,105.916666666667
"2010",2022,98.9166666666667
"2010",2023,106.416666666667
"2010",2024,109.291666666667
"2010",2025,116.166666666667
"2010",2026,99.7083333333333
"2010",2027,107.083333333333
"2010",2028,100.916666666667
"2010",2029,101.083333333333
"2010",2030,116
"2010",2031,108.208333333333
"2010",2032,112.166666666667
"2010",2033,113.333333333333
"2010",2034,110.541666666667
"2010",2035,117.25
"2010",2036,109.375
"2010",2037,119.291666666667
"2010",2038,112.25
"2010",2039,129.291666666667
"2010",2040,114.291666666667
"2010",2041,113.208333333333
"2010",2042,114.166666666667
"2010",2043,109.625
"2010",2044,103.166666666667
"2010",2045,114.041666666667
"2010",2046,123.208333333333
"2010",2047,103.166666666667
"2010",2048,112.666666666667
"2010",2049,119.25
"2010",2050,107.25
"2010",2051,128.708333333333
"2010",2052,123.458333333333
"2010",2053,108
"2010",2054,111.041666666667
"2010",2055,107.208333333333
"2010",2056,103
"2010",2057,113.458333333333
"2010",2058,103.541666666667
"2010",2059,112.25
"2010",2060,109.416666666667
"2010",2061,117.041666666667
"2010",2062,112.208333333333
"2010",2063,107.958333333333
"2010",2064,123.375
"2010",2065,96.25
"2010",2066,105.208333333333
"2010",2067,105.25
"2010",2068,105.625
"2010",2069,103.291666666667
"2010",2070,113.375
"2010",2071,117.083333333333
"2010",2072,112.375
"2010",2073,98.125
"2010",2074,107.958333333333
"2010",2075,105.083333333333
"2010",2076,117.291666666667
"2010",2077,103.208333333333
"2010",2078,120.458333333333
"2010",2079,106.166666666667
"2010",2080,106
"2010",2081,85.375
"2010",2082,110.041666666667
"2010",2083,137.083333333333
"2010",2084,100.208333333333
"2010",2085,119.166666666667
"2010",2086,120.916666666667
"2010",2087,109.333333333333
"2010",2088,95.9583333333333
"2010",2089,107.958333333333
"2010",2090,116.125
"2010",2091,118.333333333333
"2010",2092,112.708333333333
"2010",2093,116.875
"2010",2094,110.958333333333
"2010",2095,128.5
"2010",2096,91.2083333333333
"2010",2097,126.541666666667
"2010",2098,118.041666666667
"2010",2099,109.416666666667
"2010",2100,104.041666666667
