"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-8,21,0.414852453384879,127.29312592627
10,-8,22,0.330307307492766,137.134347085722
10,-8,23,0,146.203454047559
10,-8,24,0,154.383803921554
10,-8,25,0,161.561182071103
10,-8,26,0,163.064463821588
10,-8,27,0,159.927661038311
10,-8,28,0,156.152942306034
10,-8,29,0,147.573291305415
10,-8,30,0,139.17756369124
10,-7,-5,0.0000124940394862535,0
10,-7,-4,0.0000524185995226899,0
10,-7,-3,0.00023672138527581,0
10,-7,-2,0.00109800716800769,0
10,-7,-1,0.00510403048312104,0
10,-7,0,0.0232539817732877,0
10,-7,1,0.096775919238414,0
10,-7,2,0.299667984986011,0
10,-7,3,0.529603225285649,0
10,-7,4,0.560923782137404,0
10,-7,5,0.599045892017137,0.249115441324692
10,-7,6,0.58541980117907,1.36413036554009
10,-7,7,0.640705834589812,3.57557460845393
10,-7,8,0.632947826940725,7.06748685184842
10,-7,9,0.588895882258409,11.8064251371745
10,-7,10,0.663993188969152,17.7548186783402
10,-7,11,0.654327901847717,24.8991970599306
10,-7,12,0.651940995261525,33.141158011785
10,-7,13,0.58306211222739,42.3270410543468
10,-7,14,0.566970079015693,52.28840531368
10,-7,15,0.604039810983676,62.8635510833662
10,-7,16,0.591027816166066,73.9001129141368
10,-7,17,0.535245595889153,85.2394023465506
10,-7,18,0.545009528045473,96.6842843255605
10,-7,19,0.538743086887723,108.034116620767
10,-7,20,0.473999121753464,119.093844631039
10,-7,21,0.335613423534049,129.679221074779
10,-7,22,0.372284839125375,139.637079196842
10,-7,23,0,148.82343048137
10,-7,24,0,157.102113408881
10,-7,25,0,164.358814299795
10,-7,26,0,165.80059168974
10,-7,27,0,162.718366201595
10,-7,28,0,158.682483232906
10,-7,29,0,150.010572926728
10,-7,30,0,141.721260820069
10,-6,-5,0.0000191801412735289,0
10,-6,-4,0.0000666117358702515,0
10,-6,-3,0.000274461785151379,0
10,-6,-2,0.00121678639906013,0
10,-6,-1,0.00551360126062677,0
10,-6,0,0.0247092419600998,0
10,-6,1,0.101419375019338,0
10,-6,2,0.310440215286886,0
10,-6,3,0.537331406581267,0
10,-6,4,0.580571591259035,0
10,-6,5,0.620523616385641,0.258479747099434
10,-6,6,0.586831733025946,1.41839595451737
10,-6,7,0.648297250341656,3.718749417876
10,-6,8,0.638074285796125,7.32232051907158
