"Scen_year","Year","Frost"
"1990",2027,0
"1990",2028,17
"1990",2029,0
"1990",2030,0
"1990",2031,3
"1990",2032,7
"1990",2033,0
"1990",2034,0
"1990",2035,0
"1990",2036,0
"1990",2037,2
"1990",2038,1
"1990",2039,0
"1990",2040,12
"1990",2041,4
"1990",2042,0
"1990",2043,8
"1990",2044,12
"1990",2045,6
"1990",2046,0
"1990",2047,5
"1990",2048,7
"1990",2049,1
"1990",2050,14
"1990",2051,0
"1990",2052,0
"1990",2053,0
"1990",2054,0
"1990",2055,21
"1990",2056,20
"1990",2057,0
"1990",2058,0
"1990",2059,3
"1990",2060,4
"1990",2061,0
"1990",2062,6
"1990",2063,27
"1990",2064,0
"1990",2065,0
"1990",2066,0
"1990",2067,30
"1990",2068,4
"1990",2069,3
"1990",2070,5
"1990",2071,0
"1990",2072,6
"1990",2073,19
"1990",2074,7
"1990",2075,0
"1990",2076,4
"1990",2077,9
"1990",2078,0
"1990",2079,15
"1990",2080,0
"1990",2081,17
"1990",2082,12
"1990",2083,0
"1990",2084,7
"1990",2085,5
"1990",2086,0
"1990",2087,0
"1990",2088,0
"1990",2089,5
"1990",2090,0
"1990",2091,1
"1990",2092,0
"1990",2093,0
"1990",2094,0
"1990",2095,0
"1990",2096,0
"1990",2097,0
"1990",2098,0
"1990",2099,0
"1990",2100,21
"2000",2002,3
"2000",2003,7
"2000",2004,11
"2000",2005,0
"2000",2006,15
"2000",2007,4
"2000",2008,0
"2000",2009,1
"2000",2010,8
"2000",2011,0
"2000",2012,23
"2000",2013,0
"2000",2014,2
"2000",2015,1
"2000",2016,26
"2000",2017,13
"2000",2018,15
"2000",2019,0
"2000",2020,0
"2000",2021,0
"2000",2022,0
"2000",2023,0
"2000",2024,8
"2000",2025,6
"2000",2026,0
"2000",2027,33
"2000",2028,0
"2000",2029,0
"2000",2030,0
"2000",2031,0
"2000",2032,12
"2000",2033,25
"2000",2034,0
"2000",2035,0
"2000",2036,0
"2000",2037,0
"2000",2038,0
"2000",2039,0
"2000",2040,0
"2000",2041,9
"2000",2042,0
"2000",2043,0
"2000",2044,0
"2000",2045,4
"2000",2046,0
"2000",2047,0
"2000",2048,0
"2000",2049,4
"2000",2050,11
"2000",2051,0
"2000",2052,0
"2000",2053,0
"2000",2054,0
"2000",2055,0
"2000",2056,3
"2000",2057,7
"2000",2058,0
"2000",2059,0
"2000",2060,0
"2000",2061,0
"2000",2062,0
"2000",2063,0
"2000",2064,0
"2000",2065,0
"2000",2066,0
"2000",2067,4
"2000",2068,6
"2000",2069,0
"2000",2070,3
"2000",2071,1
"2000",2072,1
"2000",2073,0
"2000",2074,9
"2000",2075,0
"2000",2076,17
"2000",2077,0
"2000",2078,5
"2000",2079,30
"2000",2080,2
"2000",2081,0
"2000",2082,0
"2000",2083,0
"2000",2084,0
"2000",2085,2
"2000",2086,0
"2000",2087,0
"2000",2088,0
"2000",2089,4
"2000",2090,0
"2000",2091,0
"2000",2092,0
"2000",2093,0
"2000",2094,0
"2000",2095,0
"2000",2096,0
"2000",2097,0
"2000",2098,0
"2000",2099,10
"2000",2100,13
"2010",2002,2
"2010",2003,7
"2010",2004,11
"2010",2005,0
"2010",2006,18
"2010",2007,4
"2010",2008,0
"2010",2009,1
"2010",2010,8
"2010",2011,0
"2010",2012,24
"2010",2013,0
"2010",2014,3
"2010",2015,1
"2010",2016,27
"2010",2017,17
"2010",2018,15
"2010",2019,0
"2010",2020,0
"2010",2021,0
"2010",2022,0
"2010",2023,0
"2010",2024,8
"2010",2025,6
"2010",2026,0
"2010",2027,26
"2010",2028,0
"2010",2029,0
"2010",2030,0
"2010",2031,0
"2010",2032,7
"2010",2033,21
"2010",2034,0
"2010",2035,0
"2010",2036,0
"2010",2037,0
"2010",2038,0
"2010",2039,0
"2010",2040,0
"2010",2041,9
"2010",2042,0
"2010",2043,0
"2010",2044,0
"2010",2045,5
"2010",2046,0
"2010",2047,0
"2010",2048,0
"2010",2049,4
"2010",2050,11
"2010",2051,0
"2010",2052,0
"2010",2053,0
"2010",2054,0
"2010",2055,0
"2010",2056,3
"2010",2057,7
"2010",2058,0
"2010",2059,0
"2010",2060,0
"2010",2061,0
"2010",2062,0
"2010",2063,0
"2010",2064,0
"2010",2065,0
"2010",2066,0
"2010",2067,4
"2010",2068,6
"2010",2069,0
"2010",2070,3
"2010",2071,1
"2010",2072,0
"2010",2073,2
"2010",2074,9
"2010",2075,0
"2010",2076,20
"2010",2077,0
"2010",2078,5
"2010",2079,31
"2010",2080,2
"2010",2081,8
"2010",2082,0
"2010",2083,0
"2010",2084,1
"2010",2085,3
"2010",2086,0
"2010",2087,0
"2010",2088,0
"2010",2089,0
"2010",2090,0
"2010",2091,0
"2010",2092,0
"2010",2093,0
"2010",2094,1
"2010",2095,0
"2010",2096,0
"2010",2097,0
"2010",2098,0
"2010",2099,10
"2010",2100,13
